,OA,LSOA,ward,MSOA,council,outer/inner
16455,E00023412,E05000630,Abbey Road,E09000033,Westminster,Inner London
16456,E00023418,E05000630,Abbey Road,E09000033,Westminster,Inner London
16457,E00023432,E05000630,Abbey Road,E09000033,Westminster,Inner London
16458,E00023433,E05000630,Abbey Road,E09000033,Westminster,Inner London
16459,E00023436,E05000630,Abbey Road,E09000033,Westminster,Inner London
16460,E00023437,E05000630,Abbey Road,E09000033,Westminster,Inner London
16461,E00023440,E05000630,Abbey Road,E09000033,Westminster,Inner London
16462,E00023442,E05000630,Abbey Road,E09000033,Westminster,Inner London
16463,E00023443,E05000630,Abbey Road,E09000033,Westminster,Inner London
16464,E00023444,E05000630,Abbey Road,E09000033,Westminster,Inner London
16465,E00023446,E05000630,Abbey Road,E09000033,Westminster,Inner London
16466,E00023449,E05000630,Abbey Road,E09000033,Westminster,Inner London
16467,E00023880,E05000643,Regent's Park,E09000033,Westminster,Inner London
16468,E00023881,E05000643,Regent's Park,E09000033,Westminster,Inner London
16469,E00023885,E05000643,Regent's Park,E09000033,Westminster,Inner London
16470,E00023886,E05000643,Regent's Park,E09000033,Westminster,Inner London
16471,E00023888,E05000643,Regent's Park,E09000033,Westminster,Inner London
16472,E00023889,E05000643,Regent's Park,E09000033,Westminster,Inner London
16473,E00023890,E05000643,Regent's Park,E09000033,Westminster,Inner London
16474,E00023893,E05000643,Regent's Park,E09000033,Westminster,Inner London
16475,E00023894,E05000643,Regent's Park,E09000033,Westminster,Inner London
16476,E00023922,E05000643,Regent's Park,E09000033,Westminster,Inner London
16477,E00023923,E05000643,Regent's Park,E09000033,Westminster,Inner London
16478,E00023924,E05000643,Regent's Park,E09000033,Westminster,Inner London
16479,E00023925,E05000643,Regent's Park,E09000033,Westminster,Inner London
16480,E00023413,E05000630,Abbey Road,E09000033,Westminster,Inner London
16481,E00023415,E05000630,Abbey Road,E09000033,Westminster,Inner London
16482,E00023419,E05000630,Abbey Road,E09000033,Westminster,Inner London
16483,E00023422,E05000630,Abbey Road,E09000033,Westminster,Inner London
16484,E00023426,E05000630,Abbey Road,E09000033,Westminster,Inner London
16485,E00023427,E05000630,Abbey Road,E09000033,Westminster,Inner London
16486,E00023429,E05000630,Abbey Road,E09000033,Westminster,Inner London
16487,E00023430,E05000630,Abbey Road,E09000033,Westminster,Inner London
16488,E00023431,E05000630,Abbey Road,E09000033,Westminster,Inner London
16489,E00023434,E05000630,Abbey Road,E09000033,Westminster,Inner London
16490,E00023435,E05000630,Abbey Road,E09000033,Westminster,Inner London
16491,E00023438,E05000630,Abbey Road,E09000033,Westminster,Inner London
16492,E00023439,E05000630,Abbey Road,E09000033,Westminster,Inner London
16493,E00023441,E05000630,Abbey Road,E09000033,Westminster,Inner London
16494,E00023445,E05000630,Abbey Road,E09000033,Westminster,Inner London
16495,E00023447,E05000630,Abbey Road,E09000033,Westminster,Inner London
16496,E00023448,E05000630,Abbey Road,E09000033,Westminster,Inner London
16497,E00023774,E05000640,Maida Vale,E09000033,Westminster,Inner London
16498,E00023787,E05000640,Maida Vale,E09000033,Westminster,Inner London
16499,E00023788,E05000640,Maida Vale,E09000033,Westminster,Inner London
16500,E00023789,E05000640,Maida Vale,E09000033,Westminster,Inner London
16501,E00023790,E05000640,Maida Vale,E09000033,Westminster,Inner London
16502,E00023791,E05000640,Maida Vale,E09000033,Westminster,Inner London
16503,E00023792,E05000640,Maida Vale,E09000033,Westminster,Inner London
16504,E00023793,E05000640,Maida Vale,E09000033,Westminster,Inner London
16505,E00023794,E05000640,Maida Vale,E09000033,Westminster,Inner London
16506,E00023795,E05000640,Maida Vale,E09000033,Westminster,Inner London
16507,E00023796,E05000640,Maida Vale,E09000033,Westminster,Inner London
