,geo_code,polygon_area_centroid,polygon_area,polygon_bounds,axes_radius_degrees,polygon_area_meters,axes_radius_meters,axes_radius_meters_extended
0,E00023722,"{""lat"": 51.51432156333145, ""lng"": -0.18373846674473404}",1.762034123959237e-07,"{""lng_min"": -0.184014091856816, ""lat_min"": 51.51409370205417, ""lng_max"": -0.183473051372433, ""lat_max"": 51.51452697285028}","{""lat"": 0.00022786127728124939, ""lng"": 0.0002756251120819564}",1360.4115045007438,"{""lat"": 25.09577062301105, ""lng"": 19.67123858211562}","{""lat"": 325.09577062301105, ""lng"": 319.6712385821156}"
1,E00023889,"{""lat"": 51.53369459186135, ""lng"": -0.16901251625782676}",1.35278229797489e-06,"{""lng_min"": -0.170298222628334, ""lat_min"": 51.53302249928957, ""lng_max"": -0.16787249695574, ""lat_max"": 51.53438045564047}","{""lat"": 0.0006858637791253841, ""lng"": 0.0012857063705072336}",10440.071932499606,"{""lat"": 76.76058886956889, ""lng"": 89.18004428700078}","{""lat"": 376.7605888695689, ""lng"": 389.1800442870008}"
2,E00023808,"{""lat"": 51.527658694620094, ""lng"": -0.1923682395465308}",1.288885536354659e-06,"{""lng_min"": -0.193178088591342, ""lat_min"": 51.526947124384336, ""lng_max"": -0.1912926119541, ""lat_max"": 51.528493277694245}","{""lat"": 0.0008345830741518512, ""lng"": 0.0010756275924307945}",9948.15899850013,"{""lat"": 92.12976608524332, ""lng"": 75.08543873287272}","{""lat"": 392.1297660852433, ""lng"": 375.0854387328727}"
3,E00024069,"{""lat"": 51.48977856701931, ""lng"": -0.13958035784386305}",3.4915636357290045e-07,"{""lng_min"": -0.140153816757575, ""lat_min"": 51.48934762470616, ""lng_max"": -0.139000373277431, ""lat_max"": 51.490183687344086}","{""lat"": 0.00043094231314455556, ""lng"": 0.0005799845664320458}",2697.2165310021837,"{""lat"": 48.549819649750134, ""lng"": 39.95142375107389}","{""lat"": 348.54981964975013, ""lng"": 339.9514237510739}"
4,E00024056,"{""lat"": 51.49107819667884, ""lng"": -0.14564003814343246}",1.6453426519252956e-06,"{""lng_min"": -0.146946131597511, ""lat_min"": 51.49052643034287, ""lng_max"": -0.144155888456282, ""lat_max"": 51.49161855884286}","{""lat"": 0.00055176633597398, ""lng"": 0.0014841496871504656}",12709.802464998771,"{""lat"": 61.601863149146084, ""lng"": 103.2870529050706}","{""lat"": 361.6018631491461, ""lng"": 403.2870529050706}"
5,E00023555,"{""lat"": 51.48571393059181, ""lng"": -0.13885489785715266}",1.5634775061111081e-06,"{""lng_min"": -0.139741747171876, ""lat_min"": 51.48491740508247, ""lng_max"": -0.137860084134536, ""lat_max"": 51.48655230114159}","{""lat"": 0.0008383705497863048, ""lng"": 0.000994813722616672}",12078.843882498266,"{""lat"": 93.06793270239723, ""lng"": 68.98436421097722}","{""lat"": 393.06793270239723, ""lng"": 368.9843642109772}"
6,E00023887,"{""lat"": 51.532674383717875, ""lng"": -0.17183533572621834}",2.643787810715017e-06,"{""lng_min"": -0.173195747510185, ""lat_min"": 51.53147457669615, ""lng_max"": -0.170125559780156, ""lat_max"": 51.53368595481771}","{""lat"": 0.0011998070217273948, ""lng"": 0.0017097759460623363}",20403.81506199973,"{""lat"": 131.54762646503514, ""lng"": 120.55256199243013}","{""lat"": 431.54762646503514, ""lng"": 420.5525619924301}"
7,E00024042,"{""lat"": 51.48935806242985, ""lng"": -0.14194038599829217}",1.5163701265104634e-06,"{""lng_min"": -0.143132694688527, ""lat_min"": 51.488477386811084, ""lng_max"": -0.141029795935829, ""lat_max"": 51.49007572468636}","{""lat"": 0.000880675618766702, ""lng"": 0.0011923086902348168}",11713.984002000767,"{""lat"": 97.11720486651757, ""lng"": 82.9785921513103}","{""lat"": 397.11720486651757, ""lng"": 382.9785921513103}"
8,E00023706,"{""lat"": 51.516249331068806, ""lng"": -0.18318340295400126}",2.3730478743376182e-06,"{""lng_min"": -0.184395772906663, ""lat_min"": 51.5150983709484, ""lng_max"": -0.181944901535795, ""lat_max"": 51.517201781611526}","{""lat"": 0.0011509601204053865, ""lng"": 0.0012385014182062504}",18320.79126899707,"{""lat"": 128.31736115095555, ""lng"": 86.04038206720725}","{""lat"": 428.31736115095555, ""lng"": 386.04038206720725}"
9,E00023787,"{""lat"": 51.53476067569492, ""lng"": -0.19015021153421643}",1.9935388356545697e-06,"{""lng_min"": -0.191546667756102, ""lat_min"": 51.53403799712325, ""lng_max"": -0.18883310313614, ""lat_max"": 51.535536898342954}","{""lat"": 0.0007762226480352297, ""lng"": 0.0013964562218855558}",15384.601937000061,"{""lat"": 85.85967339758645, ""lng"": 95.41207890224177}","{""lat"": 385.85967339758645, ""lng"": 395.4120789022418}"
