,place_type,relevance,worker_perc,student_perc,tourist_perc,shopper_perc,leisurer_perc,chorer_perc
0,beauty_salon,1,17.0,16.6,16.6,16.6,16.6,16.6
1,mosque,1,17.0,16.6,16.6,16.6,16.6,16.6
2,bakery,1,17.0,16.6,16.6,16.6,16.6,16.6
3,gas_station,1,17.0,16.6,16.6,16.6,16.6,16.6
4,real_estate_agency,1,17.0,16.6,16.6,16.6,16.6,16.6
5,department_store,1,17.0,16.6,16.6,16.6,16.6,16.6
6,liquor_store,1,17.0,16.6,16.6,16.6,16.6,16.6
7,park,1,17.0,16.6,16.6,16.6,16.6,16.6
8,food,1,17.0,16.6,16.6,16.6,16.6,16.6
9,car_dealer,1,17.0,16.6,16.6,16.6,16.6,16.6
10,train_station,1,17.0,16.6,16.6,16.6,16.6,16.6
11,plumber,1,17.0,16.6,16.6,16.6,16.6,16.6
12,insurance_agency,1,17.0,16.6,16.6,16.6,16.6,16.6
13,storage,1,17.0,16.6,16.6,16.6,16.6,16.6
14,veterinary_care,1,17.0,16.6,16.6,16.6,16.6,16.6
15,car_rental,1,17.0,16.6,16.6,16.6,16.6,16.6
16,hindu_temple,1,17.0,16.6,16.6,16.6,16.6,16.6
17,electrician,1,17.0,16.6,16.6,16.6,16.6,16.6
18,store,1,17.0,16.6,16.6,16.6,16.6,16.6
19,aquarium,1,17.0,16.6,16.6,16.6,16.6,16.6
20,shoe_store,1,17.0,16.6,16.6,16.6,16.6,16.6
21,police,1,17.0,16.6,16.6,16.6,16.6,16.6
22,jewelry_store,1,17.0,16.6,16.6,16.6,16.6,16.6
23,roofing_contractor,1,17.0,16.6,16.6,16.6,16.6,16.6
24,meal_delivery,1,17.0,16.6,16.6,16.6,16.6,16.6
25,pharmacy,1,17.0,16.6,16.6,16.6,16.6,16.6
26,physiotherapist,1,17.0,16.6,16.6,16.6,16.6,16.6
27,supermarket,1,17.0,16.6,16.6,16.6,16.6,16.6
28,home_goods_store,1,17.0,16.6,16.6,16.6,16.6,16.6
29,health,1,17.0,16.6,16.6,16.6,16.6,16.6
30,church,1,17.0,16.6,16.6,16.6,16.6,16.6
31,premise,1,17.0,16.6,16.6,16.6,16.6,16.6
32,cafe,1,17.0,16.6,16.6,16.6,16.6,16.6
33,convenience_store,1,17.0,16.6,16.6,16.6,16.6,16.6
34,bank,1,17.0,16.6,16.6,16.6,16.6,16.6
35,art_gallery,1,17.0,16.6,16.6,16.6,16.6,16.6
36,bowling_alley,1,17.0,16.6,16.6,16.6,16.6,16.6
37,subway_station,1,17.0,16.6,16.6,16.6,16.6,16.6
38,restaurant,1,17.0,16.6,16.6,16.6,16.6,16.6
39,car_wash,1,17.0,16.6,16.6,16.6,16.6,16.6
40,university,1,17.0,16.6,16.6,16.6,16.6,16.6
41,spa,1,17.0,16.6,16.6,16.6,16.6,16.6
42,synagogue,1,17.0,16.6,16.6,16.6,16.6,16.6
43,fire_station,1,17.0,16.6,16.6,16.6,16.6,16.6
44,accounting,1,17.0,16.6,16.6,16.6,16.6,16.6
45,moving_company,1,17.0,16.6,16.6,16.6,16.6,16.6
46,hospital,1,17.0,16.6,16.6,16.6,16.6,16.6
47,painter,1,17.0,16.6,16.6,16.6,16.6,16.6
48,general_contractor,1,17.0,16.6,16.6,16.6,16.6,16.6
49,parking,1,17.0,16.6,16.6,16.6,16.6,16.6
50,museum,1,17.0,16.6,16.6,16.6,16.6,16.6
51,hardware_store,1,17.0,16.6,16.6,16.6,16.6,16.6
52,travel_agency,1,17.0,16.6,16.6,16.6,16.6,16.6
53,post_office,1,17.0,16.6,16.6,16.6,16.6,16.6
