,place_type,worker_perc,student_perc,tourist_perc,shopper_perc,leisurer_perc,chorer_perc
0,hindu_temple,30,10,10,5,10,35
1,storage,20,20,5,5,10,40
2,doctor,20,20,5,5,10,40
3,place_of_worship,30,10,10,5,10,35
4,home_goods_store,10,10,10,25,10,35
5,cafe,15,20,20,15,20,10
6,tourist_attraction,5,10,60,5,15,5
7,moving_company,10,10,5,5,10,60
8,convenience_store,10,10,10,25,10,35
9,synagogue,30,10,10,5,10,35
10,liquor_store,10,10,10,20,40,10
11,university,20,60,5,5,5,5
12,book_store,15,25,15,35,5,5
13,car_dealer,15,5,15,20,10,35
14,plumber,10,10,5,10,5,60
15,car_repair,15,5,5,10,10,60
16,physiotherapist,25,20,10,5,10,30
17,painter,20,5,5,5,5,60
18,travel_agency,15,10,35,10,5,25
19,finance,60,15,5,5,5,10
20,cemetery,20,5,10,5,10,50
21,atm,10,10,25,25,15,15
22,store,10,10,25,35,10,10
23,secondary_school,15,65,5,5,5,5
24,aquarium,5,10,35,10,35,5
25,shopping_mall,5,10,20,35,25,5
26,library,10,45,10,10,15,10
27,grocery_or_supermarket,10,10,10,25,10,35
28,accounting,55,5,5,5,10,20
29,food,10,15,15,20,20,20
30,beauty_salon,10,10,15,15,30,20
31,electrician,10,10,5,5,10,60
32,premise,25,20,15,10,10,20
33,amusement_park,10,10,10,25,10,35
34,supermarket,10,10,10,25,10,35
35,dentist,20,20,5,5,10,40
36,lodging,5,5,40,5,40,5
37,parking,25,10,25,15,15,10
38,bus_station,20,20,15,15,15,15
39,night_club,15,15,15,10,40,5
40,museum,10,15,40,5,35,5
41,courthouse,50,5,10,5,10,40
42,school,15,65,5,5,5,5
43,hardware_store,10,10,5,25,10,40
44,post_office,15,15,5,10,10,45
45,bar,15,15,15,5,45,5
46,train_station,20,20,20,10,20,10
47,bakery,10,10,25,20,30,5
48,mosque,30,10,10,5,10,40
49,real_estate_agency,25,10,5,10,10,40
50,car_wash,15,5,15,20,5,40
51,meal_takeaway,25,25,15,15,10,10
52,primary_school,15,65,5,5,5,5
53,florist,25,15,5,35,10,10
54,locksmith,15,15,5,20,5,40
55,laundry,15,25,5,10,5,40
56,city_hall,50,15,5,5,10,15
57,local_government_office,60,10,10,5,5,10
58,clothing_store,10,10,10,50,5,5
59,general_contractor,20,5,5,5,5,60
60,bank,20,10,10,10,10,40
61,veterinary_care,20,5,5,10,5,55
62,health,20,20,10,5,5,40
63,casino,20,5,25,15,30,5
64,subway_station,20,20,15,15,15,15
65,police,50,10,5,5,10,20
66,roofing_contractor,30,5,5,5,5,50
67,restaurant,10,10,25,15,35,5
68,taxi_stand,10,5,35,15,25,10
69,meal_delivery,25,25,15,15,10,10
70,gas_station,40,5,20,10,15,10
71,funeral_home,60,5,5,5,5,20
72,department_store,10,10,10,25,10,35
73,bicycle_store,20,20,10,25,5,20
74,fire_station,70,5,5,5,5,10
75,movie_theater,15,25,5,10,40,5
76,transit_station,20,20,15,15,15,15
77,stadium,15,5,10,5,60,5
78,bowling_alley,10,10,10,5,60,5
79,furniture_store,10,10,5,45,5,25
80,art_gallery,10,5,30,10,40,5
81,shoe_store,10,10,20,50,5,5
82,airport,25,5,55,5,5,5
83,church,30,10,10,5,10,35
84,car_rental,15,5,55,5,5,15
85,insurance_agency,25,5,5,10,5,50
86,point_of_interest,20,20,20,20,20,20
87,spa,10,5,25,10,45,5
88,establishment,20,20,20,20,20,20
89,movie_rental,50,10,5,20,5,10
90,lawyer,60,5,5,5,5,20
91,zoo,15,5,30,5,40,4
92,pharmacy,30,15,10,20,5,20
93,drugstore,15,10,5,40,10,20
94,campground,10,5,20,5,55,5
95,jewelry_store,10,5,10,65,5,5
96,electronics_store,10,15,5,60,5,5
97,hospital,45,10,5,5,5,30
98,park,10,15,25,10,35,5
99,hair_care,25,15,10,5,25,20
100,embassy,35,5,30,5,5,20
101,pet_store,15,10,10,45,15,5
102,gym,30,30,5,5,5,45
