,place_type,relevance,worker_perc,student_perc,tourist_perc,shopper_perc,leisurer_perc,chorer_perc
28,accounting,2,55,5,5,5,10,20
82,airport,2,25,5,55,5,5,5
33,amusement_park,3,10,10,10,25,10,35
24,aquarium,3,5,10,35,10,35,5
80,art_gallery,3,10,5,30,10,40,5
21,atm,1,10,10,25,25,15,15
47,bakery,2,10,10,25,20,30,5
60,bank,2,20,10,10,10,10,40
45,bar,2,10,10,15,5,55,5
30,beauty_salon,1,10,10,15,15,30,20
73,bicycle_store,1,20,20,10,25,5,20
12,book_store,1,15,25,15,35,5,5
78,bowling_alley,2,15,15,10,5,50,5
38,bus_station,1,20,20,15,15,15,15
5,cafe,2,15,20,20,15,20,10
94,campground,2,10,5,20,5,55,5
13,car_dealer,1,15,5,15,20,10,35
84,car_rental,1,15,5,55,5,5,15
15,car_repair,1,15,5,5,10,10,60
50,car_wash,1,15,5,15,20,5,40
63,casino,3,20,5,25,15,30,5
20,cemetery,1,20,5,10,5,10,50
83,church,1,30,10,10,5,10,35
56,city_hall,1,50,15,5,5,10,15
58,clothing_store,2,10,10,10,50,5,5
8,convenience_store,2,10,10,10,25,10,35
41,courthouse,1,50,5,10,5,10,40
35,dentist,1,20,20,5,5,10,40
72,department_store,2,10,10,10,25,10,35
2,doctor,1,20,20,5,5,10,40
93,drugstore,2,15,10,5,40,10,20
31,electrician,1,10,10,5,5,10,60
96,electronics_store,2,10,15,5,60,5,5
100,embassy,1,35,5,30,5,5,20
88,establishment,1,20,20,20,20,20,20
19,finance,2,60,15,5,5,5,10
74,fire_station,1,70,5,5,5,5,10
53,florist,1,25,15,5,35,10,10
29,food,2,10,15,15,20,20,20
71,funeral_home,1,60,5,5,5,5,20
79,furniture_store,1,10,10,5,45,5,25
70,gas_station,1,40,5,20,10,15,10
59,general_contractor,1,20,5,5,5,5,60
27,grocery_or_supermarket,2,10,10,10,25,10,35
102,gym,2,30,30,5,5,5,45
99,hair_care,1,25,15,10,5,25,20
43,hardware_store,2,10,10,5,25,10,40
62,health,1,20,20,10,5,5,40
0,hindu_temple,1,30,10,10,5,10,35
4,home_goods_store,2,10,10,10,25,10,35
97,hospital,1,45,10,5,5,5,30
85,insurance_agency,1,25,5,5,10,5,50
95,jewelry_store,2,10,5,10,65,5,5
55,laundry,1,15,25,5,10,5,40
90,lawyer,1,60,5,5,5,5,20
26,library,1,10,45,10,10,15,10
10,liquor_store,1,10,10,10,20,40,10
57,local_government_office,1,60,10,10,5,5,10
54,locksmith,1,15,15,5,20,5,40
36,lodging,1,5,5,40,5,40,5
69,meal_delivery,1,25,25,15,15,10,10
51,meal_takeaway,1,25,25,15,15,10,10
48,mosque,1,30,10,10,5,10,40
89,movie_rental,1,50,10,5,20,5,10
75,movie_theater,3,15,25,5,10,40,5
7,moving_company,1,10,10,5,5,10,60
40,museum,3,10,15,40,5,35,5
39,night_club,2,15,15,15,10,40,5
17,painter,1,20,5,5,5,5,60
98,park,3,10,15,25,10,35,5
37,parking,2,25,10,25,15,15,10
101,pet_store,1,15,10,10,45,15,5
92,pharmacy,1,30,15,10,20,5,20
16,physiotherapist,1,25,20,10,5,10,30
3,place_of_worship,1,30,10,10,5,10,35
14,plumber,1,10,10,5,10,5,60
86,point_of_interest,1,20,20,20,20,20,20
65,police,1,50,10,5,5,10,20
44,post_office,1,15,15,5,10,10,45
32,premise,2,25,20,15,10,10,20
52,primary_school,2,15,65,5,5,5,5
49,real_estate_agency,1,25,10,5,10,10,40
67,restaurant,2,10,10,25,15,35,5
66,roofing_contractor,1,30,5,5,5,5,50
42,school,2,15,65,5,5,5,5
23,secondary_school,2,15,65,5,5,5,5
81,shoe_store,2,10,10,20,50,5,5
25,shopping_mall,3,5,10,20,35,25,5
87,spa,1,10,5,25,10,45,5
77,stadium,3,15,5,10,5,60,5
1,storage,1,20,20,5,5,10,40
22,store,2,10,10,25,35,10,10
64,subway_station,2,20,20,15,15,15,15
34,supermarket,2,10,10,10,25,10,35
9,synagogue,1,30,10,10,5,10,35
68,taxi_stand,1,10,5,35,15,25,10
6,tourist_attraction,3,5,10,60,5,15,5
46,train_station,3,20,20,20,10,20,10
76,transit_station,2,20,20,15,15,15,15
18,travel_agency,1,15,10,35,10,5,25
11,university,3,20,60,5,5,5,5
61,veterinary_care,1,20,5,5,10,5,55
91,zoo,2,15,5,30,5,40,4
