,place_type,relevance,worker_perc,student_perc,tourist_perc,shopper_perc,leisurer_perc,chorer_perc
0,accounting,1,75,5,5,5,5,5
1,airport,1,32,18,15,15,15,5
2,amusement_park,1,5,5,30,5,50,5
3,aquarium,1,5,5,30,5,50,5
4,art_gallery,1,5,5,60,5,20,5
5,atm,1,32,18,15,15,15,5
6,bakery,0,30,5,25,5,30,5
7,bank,1,32,18,15,15,15,5
8,bar,0,30,5,25,5,30,5
9,beauty_salon,1,5,5,5,5,75,5
10,bicycle_store,1,15,5,10,60,5,5
11,book_store,1,15,5,10,60,5,5
12,bowling_alley,1,5,5,30,5,50,5
13,bus_station,1,27,16,16,16,16,10
14,cafe,0,30,5,25,5,30,5
15,campground,1,5,5,30,5,50,5
16,car_dealer,1,60,10,5,5,5,15
17,car_rental,1,60,10,5,5,5,15
18,car_repair,1,60,10,5,5,5,15
19,car_wash,1,60,10,5,5,5,15
20,casino,1,5,5,30,5,50,5
21,cemetery,1,60,10,5,5,5,15
22,church,1,60,10,5,5,5,15
23,city_hall,1,75,5,5,5,5,5
24,clothing_store,1,15,5,10,60,5,5
25,convenience_store,1,15,5,10,60,5,5
26,courthouse,1,75,5,5,5,5,5
27,dentist,1,65,10,5,5,5,10
28,department_store,1,15,5,10,60,5,5
29,doctor,1,95,1,1,1,1,1
30,drugstore,1,15,5,10,60,5,5
31,electrician,1,60,10,5,5,5,15
32,electronics_store,1,15,5,10,60,5,5
33,embassy,1,75,5,5,5,5,5
34,establishment,1,95,1,1,1,1,1
35,finance,1,75,5,5,5,5,5
36,fire_station,1,32,18,15,15,15,5
37,florist,1,15,5,10,60,5,5
38,food,0,30,5,25,5,30,5
39,funeral_home,1,60,10,5,5,5,15
40,furniture_store,1,15,5,10,60,5,5
41,gas_station,1,32,18,15,15,15,5
42,general_contractor,1,60,10,5,5,5,15
43,grocery_or_supermarket,1,15,5,10,60,5,5
44,gym,1,5,5,5,5,75,5
45,hair_care,1,5,5,5,5,75,5
46,hardware_store,1,15,5,10,60,5,5
47,health,1,95,1,1,1,1,1
48,hindu_temple,1,60,10,5,5,5,15
49,home_goods_store,1,15,5,10,60,5,5
50,hospital,1,65,10,5,5,5,10
51,insurance_agency,1,60,10,5,5,5,15
52,jewelry_store,1,15,5,10,60,5,5
53,laundry,1,60,10,5,5,5,15
54,lawyer,1,75,5,5,5,5,5
55,library,1,12,80,1,1,1,5
56,liquor_store,1,15,5,10,60,5,5
57,local_government_office,1,75,5,5,5,5,5
58,locksmith,1,60,10,5,5,5,15
59,lodging,1,5,5,30,5,50,5
60,meal_delivery,0,30,5,25,5,30,5
61,meal_takeaway,0,30,5,25,5,30,5
62,mosque,1,60,10,5,5,5,15
63,movie_rental,1,15,5,10,60,5,5
64,movie_theater,1,5,5,30,5,50,5
65,moving_company,1,60,10,5,5,5,15
66,museum,1,5,5,60,5,20,5
67,night_club,1,5,5,30,5,50,5
68,painter,1,60,10,5,5,5,15
69,park,1,5,5,30,5,50,5
70,parking,1,27,16,16,16,16,10
71,pet_store,1,15,5,10,60,5,5
72,pharmacy,1,65,10,5,5,5,10
73,physiotherapist,1,65,10,5,5,5,10
74,place_of_worship,1,60,10,5,5,5,15
75,plumber,1,60,10,5,5,5,15
76,point_of_interest,1,95,1,1,1,1,1
77,police,1,32,18,15,15,15,5
78,post_office,1,60,10,5,5,5,15
79,premise,1,95,1,1,1,1,1
80,primary_school,1,12,80,1,1,1,5
81,real_estate_agency,1,60,10,5,5,5,15
82,restaurant,0,30,5,25,5,30,5
83,roofing_contractor,1,60,10,5,5,5,15
84,school,1,12,80,1,1,1,5
85,secondary_school,1,12,80,1,1,1,5
86,shoe_store,1,15,5,10,60,5,5
87,shopping_mall,1,15,5,10,60,5,5
88,spa,1,5,5,5,5,75,5
89,stadium,1,5,5,30,5,50,5
90,storage,1,60,10,5,5,5,15
91,store,1,95,1,1,1,1,1
92,subway_station,1,27,16,16,16,16,10
93,supermarket,1,15,5,10,60,5,5
94,synagogue,1,60,10,5,5,5,15
95,taxi_stand,1,27,16,16,16,16,10
96,tourist_attraction,1,5,5,60,5,20,5
97,train_station,1,27,16,16,16,16,10
98,transit_station,1,27,16,16,16,16,10
99,travel_agency,1,60,10,5,5,5,15
100,university,1,12,80,1,1,1,5
101,veterinary_care,1,65,10,5,5,5,10
102,zoo,1,5,5,30,5,50,5
