,place_type,relevance,worker_perc,student_perc,tourist_perc,shopper_perc,leisurer_perc,chorer_perc
0,accounting,3.0,95,1,1,1,1,1
1,airport,1.0,55,10,10,10,10,5
2,amusement_park,2.0,10,1,37,1,50,1
3,aquarium,2.0,10,1,37,1,50,1
4,art_gallery,3.0,7,1,70,1,20,1
5,atm,1.0,55,10,10,10,10,5
6,bakery,0.75,30,1,32,1,35,1
7,bank,1.0,55,10,10,10,10,5
8,bar,0.75,30,1,32,1,35,1
9,beauty_salon,1.0,15,10,5,5,60,5
10,bicycle_store,1.0,15,1,10,77,1,1
11,book_store,1.0,15,1,10,77,1,1
12,bowling_alley,2.0,10,1,37,1,50,1
13,bus_station,1.0,27,16,16,16,16,10
14,cafe,0.75,30,1,32,1,35,1
15,campground,2.0,10,1,37,1,50,1
16,car_dealer,1.0,60,10,1,1,1,27
17,car_rental,1.0,60,10,1,1,1,27
18,car_repair,1.0,60,10,1,1,1,27
19,car_wash,1.0,60,10,1,1,1,27
20,casino,2.0,10,1,37,1,50,1
21,cemetery,1.0,60,10,1,1,1,27
22,church,2.0,60,10,1,1,1,27
23,city_hall,2.0,95,1,1,1,1,1
24,clothing_store,1.0,15,1,10,77,1,1
25,convenience_store,1.0,15,1,10,77,1,1
26,courthouse,2.0,95,1,1,1,1,1
27,dentist,1.0,77,10,1,1,1,10
28,department_store,1.0,15,1,10,77,1,1
29,doctor,0.5,95,1,1,1,1,1
30,drugstore,1.0,15,1,10,77,1,1
31,electrician,1.0,60,10,1,1,1,27
32,electronics_store,1.0,15,1,10,77,1,1
33,embassy,2.0,95,1,1,1,1,1
34,establishment,0.5,95,1,1,1,1,1
35,finance,3.0,95,1,1,1,1,1
36,fire_station,1.0,55,10,10,10,10,5
37,florist,1.0,15,1,10,77,1,1
38,food,0.75,30,1,32,1,35,1
39,funeral_home,1.0,60,10,1,1,1,27
40,furniture_store,1.0,15,1,10,77,1,1
41,gas_station,1.0,55,10,10,10,10,5
42,general_contractor,1.0,60,10,1,1,1,27
43,grocery_or_supermarket,1.0,15,1,10,77,1,1
44,gym,1.0,15,10,5,5,60,5
45,hair_care,1.0,15,10,5,5,60,5
46,hardware_store,1.0,15,1,10,77,1,1
47,health,0.5,95,1,1,1,1,1
48,hindu_temple,2.0,60,10,1,1,1,27
49,home_goods_store,1.0,15,1,10,77,1,1
50,hospital,1.0,77,10,1,1,1,10
51,insurance_agency,1.0,60,10,1,1,1,27
52,jewelry_store,1.0,15,1,10,77,1,1
53,laundry,1.0,60,10,1,1,1,27
54,lawyer,2.0,95,1,1,1,1,1
55,library,2.0,12,84,1,1,1,1
56,liquor_store,1.0,15,1,10,77,1,1
57,local_government_office,2.0,95,1,1,1,1,1
58,locksmith,1.0,60,10,1,1,1,27
59,lodging,2.0,10,1,37,1,50,1
60,meal_delivery,0.75,30,1,32,1,35,1
61,meal_takeaway,0.75,30,1,32,1,35,1
62,mosque,2.0,60,10,1,1,1,27
63,movie_rental,1.0,15,1,10,77,1,1
64,movie_theater,2.0,10,1,37,1,50,1
65,moving_company,1.0,60,10,1,1,1,27
66,museum,3.0,7,1,70,1,20,1
67,night_club,2.0,10,1,37,1,50,1
68,painter,1.0,60,10,1,1,1,27
69,park,2.0,10,1,37,1,50,1
70,parking,1.0,27,16,16,16,16,10
71,pet_store,1.0,15,1,10,77,1,1
72,pharmacy,1.0,77,10,1,1,1,10
73,physiotherapist,1.0,77,10,1,1,1,10
74,place_of_worship,2.0,60,10,1,1,1,27
75,plumber,1.0,60,10,1,1,1,27
76,point_of_interest,0.5,95,1,1,1,1,1
77,police,1.0,55,10,10,10,10,5
78,post_office,1.0,60,10,1,1,1,27
79,premise,0.5,95,1,1,1,1,1
80,primary_school,2.0,12,84,1,1,1,1
81,real_estate_agency,1.0,60,10,1,1,1,27
82,restaurant,0.75,30,1,32,1,35,1
83,roofing_contractor,1.0,60,10,1,1,1,27
84,school,2.0,12,84,1,1,1,1
85,secondary_school,2.0,12,84,1,1,1,1
86,shoe_store,1.0,15,1,10,77,1,1
87,shopping_mall,1.0,15,1,10,77,1,1
88,spa,1.0,15,10,5,5,60,5
89,stadium,2.0,10,1,37,1,50,1
90,storage,1.0,60,10,1,1,1,27
91,store,0.5,95,1,1,1,1,1
92,subway_station,1.0,27,16,16,16,16,10
93,supermarket,1.0,15,1,10,77,1,1
94,synagogue,2.0,60,10,1,1,1,27
95,taxi_stand,1.0,27,16,16,16,16,10
96,tourist_attraction,3.0,7,1,70,1,20,1
97,train_station,1.0,27,16,16,16,16,10
98,transit_station,1.0,27,16,16,16,16,10
99,travel_agency,1.0,60,10,1,1,1,27
100,university,2.0,12,84,1,1,1,1
101,veterinary_care,1.0,77,10,1,1,1,10
102,zoo,2.0,10,1,37,1,50,1
