,OA,Public_Transport_Accessibility_Index,Public_Transport_Accessibility_Level,Public Transport Accessibility Level_frequency_count
0,E00023412,18.788,5,"{'5': 9, '4': 8}"
1,E00023413,12.999,3,{'3': 17}
2,E00023414,14.44,3,{'3': 2}
3,E00023415,17.746,3,"{'3': 7, '5': 6, '4': 5}"
4,E00023416,17.6,4,{'4': 8}
5,E00023418,23.792,5,{'5': 10}
6,E00023419,14.805,3,"{'3': 11, '4': 2}"
7,E00023421,14.637,3,"{'3': 5, '4': 1}"
8,E00023422,15.429,4,"{'4': 18, '3': 10}"
9,E00023423,16.546,4,{'4': 11}
10,E00023424,19.331,5,"{'5': 25, '4': 9}"
11,E00023425,19.725,5,"{'5': 6, '4': 4}"
12,E00023426,16.389,4,{'4': 7}
13,E00023427,16.23,4,{'4': 7}
14,E00023428,19.801,5,"{'5': 5, '4': 5}"
15,E00023429,17.647,4,{'4': 13}
16,E00023430,17.048,4,"{'4': 4, '5': 1}"
17,E00023431,18.706,4,"{'4': 10, '5': 6}"
18,E00023432,18.97,4,"{'4': 7, '5': 3}"
19,E00023433,20.232,4,"{'4': 6, '5': 3}"
20,E00023434,11.007,3,"{'3': 5, '2': 1}"
21,E00023435,16.56,4,{'4': 26}
22,E00023436,10.094,3,"{'3': 22, '2': 7, '1b': 2}"
23,E00023437,18.413,4,"{'4': 7, '5': 5, '3': 3}"
24,E00023438,18.684,4,{'4': 9}
25,E00023439,12.599,3,"{'3': 10, '4': 1, '2': 1}"
26,E00023440,11.638,3,"{'3': 7, '4': 2, '2': 2}"
27,E00023441,15.838,4,"{'4': 9, '3': 4}"
28,E00023442,18.075,4,"{'4': 5, '3': 4, '5': 4}"
29,E00023443,5.543,2,{'2': 10}
30,E00023444,21.278,5,{'5': 12}
31,E00023445,16.965,4,"{'4': 12, '3': 1}"
32,E00023446,9.307,3,"{'3': 4, '2': 2}"
33,E00023447,15.416,3,"{'3': 9, '4': 4, '5': 2}"
34,E00023448,13.64,3,"{'3': 10, '4': 3}"
35,E00023449,22.994,5,"{'5': 12, '6a': 1, '4': 1}"
36,E00023450,19.83,4,{'4': 36}
37,E00023451,21.547,5,"{'5': 5, '4': 2}"
38,E00023452,20.261,4,"{'4': 5, '5': 4}"
39,E00023453,19.679,4,"{'4': 7, '5': 1}"
40,E00023454,32.118,6a,{'6a': 5}
41,E00023455,20.668,5,"{'5': 9, '4': 1}"
42,E00023456,20.367,5,{'5': 3}
43,E00023458,21.252,5,{'5': 5}
44,E00023459,20.271,5,"{'5': 5, '4': 3}"
45,E00023460,19.696,4,"{'4': 7, '5': 2}"
46,E00023461,22.056,5,{'5': 5}
47,E00023462,29.945,6a,{'6a': 2}
48,E00023463,32.681,6a,"{'6a': 33, '5': 1}"
49,E00023464,22.06,5,{'5': 2}
50,E00023465,21.108,5,{'5': 4}
51,E00023466,20.751,5,{'5': 7}
52,E00023467,21.413,5,{'5': 3}
53,E00023468,19.603,4,"{'4': 2, '5': 1}"
54,E00023469,21.704,5,"{'5': 3, '4': 2}"
55,E00023470,19.8,4,"{'4': 5, '5': 2}"
56,E00023471,15.742,4,{'4': 4}
57,E00023472,17.67,4,{'4': 4}
58,E00023473,21.73,5,"{'5': 5, '4': 1}"
59,E00023474,22.85,5,{'5': 4}
60,E00023475,16.312,4,{'4': 4}
61,E00023476,21.579,5,{'5': 22}
62,E00023477,23.942,5,"{'5': 14, '6a': 2}"
63,E00023478,22.892,5,"{'5': 9, '4': 1}"
64,E00023479,22.29,5,{'5': 8}
65,E00023480,23.759,5,"{'5': 9, '6a': 1}"
66,E00023481,18.503,4,"{'4': 12, '5': 1}"
67,E00023482,22.274,5,"{'5': 7, '4': 1}"
68,E00023483,30.633,6a,{'6a': 6}
69,E00023484,21.891,5,{'5': 8}
70,E00023485,30.707,6a,{'6a': 3}
71,E00023486,52.351,6b,{'6b': 8}
72,E00023487,46.21,6b,{'6b': 17}
73,E00023488,49.171,6b,"{'6b': 38, '6a': 2}"
74,E00023489,51.815,6b,{'6b': 52}
75,E00023490,52.24,6b,{'6b': 135}
76,E00023491,50.065,6b,{'6b': 40}
77,E00023492,51.53,6b,{'6b': 50}
78,E00023493,43.731,6b,{'6b': 16}
79,E00023494,48.343,6b,{'6b': 34}
80,E00023495,53.158,6b,{'6b': 22}
81,E00023496,54.34,6b,{'6b': 29}
82,E00023497,45.15,6b,"{'6b': 21, '6a': 4}"
83,E00023498,51.074,6b,{'6b': 25}
84,E00023499,40.942,6b,"{'6b': 90, '6a': 27}"
85,E00023500,43.07,6b,"{'6b': 17, '6a': 16}"
86,E00023501,50.837,6b,{'6b': 21}
87,E00023502,50.701,6b,{'6b': 22}
88,E00023503,56.582,6b,{'6b': 47}
89,E00023504,46.4,6b,"{'6b': 16, '6a': 5}"
90,E00023505,50.553,6b,{'6b': 32}
91,E00023506,50.627,6b,{'6b': 48}
92,E00023507,47.09,6b,"{'6b': 20, '6a': 1}"
93,E00023508,53.77,6b,{'6b': 65}
94,E00023509,63.113,6b,{'6b': 75}
95,E00023510,67.466,6b,{'6b': 84}
96,E00023511,41.442,6b,{'6b': 10}
97,E00023512,39.455,6a,"{'6a': 9, '6b': 6}"
98,E00023513,41.302,6b,{'6b': 6}
99,E00023514,43.776,6b,{'6b': 18}
100,E00023515,45.086,6b,{'6b': 9}
101,E00023516,50.283,6b,{'6b': 13}
102,E00023517,33.215,6a,"{'6a': 23, '6b': 5}"
103,E00023518,50.017,6b,{'6b': 12}
104,E00023519,43.13,6b,"{'6b': 37, '6a': 2}"
105,E00023520,55.193,6b,{'6b': 15}
106,E00023521,58.26,6b,{'6b': 9}
107,E00023522,60.689,6b,{'6b': 25}
108,E00023523,54.336,6b,{'6b': 16}
109,E00023524,59.725,6b,{'6b': 11}
