OA,Acorn_category,Acorn_group,Acorn Category_frequency_count,Acorn Group_frequency_count
E00023412,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '1. Affluent Achievers': 4, '6. Not Private Households': 2}","{'D. City Sophisticates': 7, 'A. Lavish Lifestyles': 4, 'R. Active Communal Population': 2}"
E00023413,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '1. Affluent Achievers': 2, '6. Not Private Households': 1}","{'D. City Sophisticates': 9, 'A. Lavish Lifestyles': 2, 'R. Active Communal Population': 1}"
E00023414,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 2},{'D. City Sophisticates': 2}
E00023415,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '1. Affluent Achievers': 3, '6. Not Private Households': 3}","{'D. City Sophisticates': 9, 'A. Lavish Lifestyles': 3, 'R. Active Communal Population': 3}"
E00023416,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 8},{'D. City Sophisticates': 8}
E00023418,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 6, '6. Not Private Households': 3}","{'D. City Sophisticates': 6, 'R. Active Communal Population': 3}"
E00023419,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '1. Affluent Achievers': 1}","{'D. City Sophisticates': 9, 'A. Lavish Lifestyles': 1}"
E00023421,2. Rising Prosperity,D. City Sophisticates,{'2. Rising Prosperity': 5},{'D. City Sophisticates': 5}
E00023422,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 9, '1. Affluent Achievers': 4, '6. Not Private Households': 1}","{'D. City Sophisticates': 9, 'A. Lavish Lifestyles': 4, 'R. Active Communal Population': 1}"
E00023423,2. Rising Prosperity,D. City Sophisticates,"{'2. Rising Prosperity': 7, '6. Not Private Households': 1}","{'D. City Sophisticates': 7, 'R. Active Communal Population': 1}"
