,OA,Females total,Males total,[count] - Females - Infant [0-4],[count] - Females - Primary student [5-9],[count] - Females - Secondary student [10-15],[count] - Females - College student [16-17],[count] - Females - Universitarian / apprentice [18-24],[count] - Females - Young adult [25-39],[count] - Females - Middle-aged adult [40-49],[count] - Females - Senior adult [50-64],[count] - Females - Senior [65+],[count] - Males - Infant [0-4],[count] - Males - Primary student [5-9],[count] - Males - Secondary student [10-15],[count] - Males - College student [16-17],[count] - Males - Universitarian / apprentice [18-24],[count] - Males - Young adult [25-39],[count] - Males - Middle-aged adult [40-49],[count] - Males - Senior adult [50-64],[count] - Males - Senior [65+],[count] - Total - Infant [0-4],[count] - Total - Primary student [5-9],[count] - Total - Secondary student [10-15],[count] - Total - College student [16-17],[count] - Total - Universitarian / apprentice [18-24],[count] - Total - Young adult [25-39],[count] - Total - Middle-aged adult [40-49],[count] - Total - Senior adult [50-64],[count] - Total - Senior [65+],[%_in_OA] - Females - Infant [0-4],[%_in_OA] - Females - Primary student [5-9],[%_in_OA] - Females - Secondary student [10-15],[%_in_OA] - Females - College student [16-17],[%_in_OA] - Females - Universitarian / apprentice [18-24],[%_in_OA] - Females - Young adult [25-39],[%_in_OA] - Females - Middle-aged adult [40-49],[%_in_OA] - Females - Senior adult [50-64],[%_in_OA] - Females - Senior [65+],[%_in_OA] - Males - Infant [0-4],[%_in_OA] - Males - Primary student [5-9],[%_in_OA] - Males - Secondary student [10-15],[%_in_OA] - Males - College student [16-17],[%_in_OA] - Males - Universitarian / apprentice [18-24],[%_in_OA] - Males - Young adult [25-39],[%_in_OA] - Males - Middle-aged adult [40-49],[%_in_OA] - Males - Senior adult [50-64],[%_in_OA] - Males - Senior [65+],[%_in_OA] - Total - Infant [0-4],[%_in_OA] - Total - Primary student [5-9],[%_in_OA] - Total - Secondary student [10-15],[%_in_OA] - Total - College student [16-17],[%_in_OA] - Total - Universitarian / apprentice [18-24],[%_in_OA] - Total - Young adult [25-39],[%_in_OA] - Total - Middle-aged adult [40-49],[%_in_OA] - Total - Senior adult [50-64],[%_in_OA] - Total - Senior [65+],[shared_scale] - [%_in_OA] - Total - Infant [0-4],[shared_scale] - [%_in_OA] - Total - Primary student [5-9],[shared_scale] - [%_in_OA] - Total - Secondary student [10-15],[shared_scale] - [%_in_OA] - Total - College student [16-17],[shared_scale] - [%_in_OA] - Total - Universitarian / apprentice [18-24],[shared_scale] - [%_in_OA] - Total - Young adult [25-39],[shared_scale] - [%_in_OA] - Total - Middle-aged adult [40-49],[shared_scale] - [%_in_OA] - Total - Senior adult [50-64],[shared_scale] - [%_in_OA] - Total - Senior [65+]
0,E00023412,198.0,176.0,12.0,20.0,6.0,4.0,23.0,47.0,36.0,30.0,20.0,7.0,22.0,19.0,0.0,24.0,38.0,24.0,28.0,14.0,19.0,42.0,25.0,4.0,47.0,85.0,60.0,58.0,34.0,3.209,5.348,1.604,1.07,6.15,12.567,9.626,8.021,5.348,1.872,5.882,5.08,0.0,6.417,10.16,6.417,7.487,3.743,5.08,11.23,6.684,1.07,12.567,22.727,16.043,15.508,9.091,5.08,11.23,6.684,1.07,12.567,22.727,16.043,15.508,9.091
1,E00023413,220.0,223.0,15.0,10.0,16.0,7.0,8.0,47.0,29.0,46.0,42.0,11.0,14.0,28.0,7.0,10.0,49.0,38.0,35.0,31.0,26.0,24.0,44.0,14.0,18.0,96.0,67.0,81.0,73.0,3.386,2.257,3.612,1.58,1.806,10.609,6.546,10.384,9.481,2.483,3.16,6.321,1.58,2.257,11.061,8.578,7.901,6.998,5.869,5.418,9.932,3.16,4.063,21.67,15.124,18.284,16.479,5.869,5.418,9.932,3.16,4.063,21.67,15.124,18.284,16.479
2,E00023414,97.0,91.0,3.0,3.0,3.0,0.0,4.0,48.0,9.0,13.0,14.0,1.0,1.0,3.0,0.0,11.0,32.0,15.0,13.0,15.0,4.0,4.0,6.0,0.0,15.0,80.0,24.0,26.0,29.0,1.596,1.596,1.596,0.0,2.128,25.532,4.787,6.915,7.447,0.532,0.532,1.596,0.0,5.851,17.021,7.979,6.915,7.979,2.128,2.128,3.191,0.0,7.979,42.553,12.766,13.83,15.426,2.128,2.128,3.191,0.0,7.979,42.553,12.766,13.83,15.426
3,E00023415,190.0,195.0,16.0,15.0,16.0,3.0,23.0,48.0,14.0,33.0,22.0,14.0,9.0,11.0,3.0,25.0,51.0,40.0,18.0,24.0,30.0,24.0,27.0,6.0,48.0,99.0,54.0,51.0,46.0,4.156,3.896,4.156,0.779,5.974,12.468,3.636,8.571,5.714,3.636,2.338,2.857,0.779,6.494,13.247,10.39,4.675,6.234,7.792,6.234,7.013,1.558,12.468,25.714,14.026,13.247,11.948,7.792,6.234,7.013,1.558,12.468,25.714,14.026,13.247,11.948
4,E00023416,231.0,232.0,10.0,6.0,9.0,0.0,8.0,102.0,27.0,23.0,46.0,18.0,8.0,8.0,0.0,7.0,116.0,30.0,22.0,23.0,28.0,14.0,17.0,0.0,15.0,218.0,57.0,45.0,69.0,2.16,1.296,1.944,0.0,1.728,22.03,5.832,4.968,9.935,3.888,1.728,1.728,0.0,1.512,25.054,6.479,4.752,4.968,6.048,3.024,3.672,0.0,3.24,47.084,12.311,9.719,14.903,6.048,3.024,3.672,0.0,3.24,47.084,12.311,9.719,14.903
5,E00023418,190.0,199.0,5.0,17.0,13.0,2.0,11.0,46.0,24.0,29.0,43.0,18.0,15.0,13.0,7.0,8.0,55.0,31.0,32.0,20.0,23.0,32.0,26.0,9.0,19.0,101.0,55.0,61.0,63.0,1.285,4.37,3.342,0.514,2.828,11.825,6.17,7.455,11.054,4.627,3.856,3.342,1.799,2.057,14.139,7.969,8.226,5.141,5.913,8.226,6.684,2.314,4.884,25.964,14.139,15.681,16.195,5.913,8.226,6.684,2.314,4.884,25.964,14.139,15.681,16.195
6,E00023419,286.0,246.0,17.0,23.0,17.0,3.0,11.0,85.0,45.0,48.0,37.0,12.0,22.0,15.0,1.0,10.0,87.0,39.0,38.0,22.0,29.0,45.0,32.0,4.0,21.0,172.0,84.0,86.0,59.0,3.195,4.323,3.195,0.564,2.068,15.977,8.459,9.023,6.955,2.256,4.135,2.82,0.188,1.88,16.353,7.331,7.143,4.135,5.451,8.459,6.015,0.752,3.947,32.331,15.789,16.165,11.09,5.451,8.459,6.015,0.752,3.947,32.331,15.789,16.165,11.09
7,E00023421,188.0,168.0,14.0,10.0,7.0,1.0,11.0,71.0,25.0,22.0,27.0,8.0,9.0,6.0,3.0,11.0,67.0,27.0,18.0,19.0,22.0,19.0,13.0,4.0,22.0,138.0,52.0,40.0,46.0,3.933,2.809,1.966,0.281,3.09,19.944,7.022,6.18,7.584,2.247,2.528,1.685,0.843,3.09,18.82,7.584,5.056,5.337,6.18,5.337,3.652,1.124,6.18,38.764,14.607,11.236,12.921,6.18,5.337,3.652,1.124,6.18,38.764,14.607,11.236,12.921
8,E00023422,293.0,305.0,15.0,23.0,10.0,6.0,9.0,92.0,47.0,53.0,38.0,24.0,28.0,22.0,1.0,15.0,76.0,60.0,48.0,31.0,39.0,51.0,32.0,7.0,24.0,168.0,107.0,101.0,69.0,2.508,3.846,1.672,1.003,1.505,15.385,7.86,8.863,6.355,4.013,4.682,3.679,0.167,2.508,12.709,10.033,8.027,5.184,6.522,8.528,5.351,1.171,4.013,28.094,17.893,16.89,11.538,6.522,8.528,5.351,1.171,4.013,28.094,17.893,16.89,11.538
9,E00023423,168.0,185.0,13.0,6.0,8.0,0.0,6.0,72.0,23.0,16.0,24.0,9.0,17.0,7.0,1.0,7.0,79.0,32.0,19.0,14.0,22.0,23.0,15.0,1.0,13.0,151.0,55.0,35.0,38.0,3.683,1.7,2.266,0.0,1.7,20.397,6.516,4.533,6.799,2.55,4.816,1.983,0.283,1.983,22.38,9.065,5.382,3.966,6.232,6.516,4.249,0.283,3.683,42.776,15.581,9.915,10.765,6.232,6.516,4.249,0.283,3.683,42.776,15.581,9.915,10.765
10,E00023424,137.0,155.0,15.0,12.0,5.0,0.0,3.0,48.0,26.0,7.0,21.0,14.0,10.0,6.0,0.0,7.0,50.0,34.0,13.0,21.0,29.0,22.0,11.0,0.0,10.0,98.0,60.0,20.0,42.0,5.137,4.11,1.712,0.0,1.027,16.438,8.904,2.397,7.192,4.795,3.425,2.055,0.0,2.397,17.123,11.644,4.452,7.192,9.932,7.534,3.767,0.0,3.425,33.562,20.548,6.849,14.384,9.932,7.534,3.767,0.0,3.425,33.562,20.548,6.849,14.384
11,E00023425,123.0,127.0,9.0,8.0,2.0,0.0,2.0,17.0,22.0,25.0,38.0,14.0,5.0,12.0,2.0,7.0,24.0,10.0,23.0,30.0,23.0,13.0,14.0,2.0,9.0,41.0,32.0,48.0,68.0,3.6,3.2,0.8,0.0,0.8,6.8,8.8,10.0,15.2,5.6,2.0,4.8,0.8,2.8,9.6,4.0,9.2,12.0,9.2,5.2,5.6,0.8,3.6,16.4,12.8,19.2,27.2,9.2,5.2,5.6,0.8,3.6,16.4,12.8,19.2,27.2
12,E00023426,244.0,265.0,20.0,30.0,19.0,4.0,5.0,58.0,47.0,28.0,33.0,19.0,26.0,23.0,4.0,6.0,72.0,41.0,41.0,33.0,39.0,56.0,42.0,8.0,11.0,130.0,88.0,69.0,66.0,3.929,5.894,3.733,0.786,0.982,11.395,9.234,5.501,6.483,3.733,5.108,4.519,0.786,1.179,14.145,8.055,8.055,6.483,7.662,11.002,8.251,1.572,2.161,25.54,17.289,13.556,12.967,7.662,11.002,8.251,1.572,2.161,25.54,17.289,13.556,12.967
13,E00023427,112.0,124.0,8.0,3.0,6.0,1.0,12.0,29.0,18.0,19.0,16.0,11.0,9.0,8.0,3.0,14.0,41.0,12.0,15.0,11.0,19.0,12.0,14.0,4.0,26.0,70.0,30.0,34.0,27.0,3.39,1.271,2.542,0.424,5.085,12.288,7.627,8.051,6.78,4.661,3.814,3.39,1.271,5.932,17.373,5.085,6.356,4.661,8.051,5.085,5.932,1.695,11.017,29.661,12.712,14.407,11.441,8.051,5.085,5.932,1.695,11.017,29.661,12.712,14.407,11.441
14,E00023428,149.0,149.0,14.0,21.0,11.0,2.0,14.0,43.0,15.0,13.0,16.0,17.0,10.0,13.0,4.0,18.0,31.0,22.0,14.0,20.0,31.0,31.0,24.0,6.0,32.0,74.0,37.0,27.0,36.0,4.698,7.047,3.691,0.671,4.698,14.43,5.034,4.362,5.369,5.705,3.356,4.362,1.342,6.04,10.403,7.383,4.698,6.711,10.403,10.403,8.054,2.013,10.738,24.832,12.416,9.06,12.081,10.403,10.403,8.054,2.013,10.738,24.832,12.416,9.06,12.081
15,E00023429,200.0,200.0,11.0,7.0,16.0,2.0,12.0,62.0,19.0,39.0,32.0,11.0,12.0,15.0,4.0,9.0,75.0,30.0,27.0,17.0,22.0,19.0,31.0,6.0,21.0,137.0,49.0,66.0,49.0,2.75,1.75,4.0,0.5,3.0,15.5,4.75,9.75,8.0,2.75,3.0,3.75,1.0,2.25,18.75,7.5,6.75,4.25,5.5,4.75,7.75,1.5,5.25,34.25,12.25,16.5,12.25,5.5,4.75,7.75,1.5,5.25,34.25,12.25,16.5,12.25
16,E00023430,48.0,60.0,1.0,2.0,3.0,3.0,20.0,6.0,4.0,3.0,6.0,1.0,2.0,9.0,3.0,30.0,6.0,2.0,4.0,3.0,2.0,4.0,12.0,6.0,50.0,12.0,6.0,7.0,9.0,0.926,1.852,2.778,2.778,18.519,5.556,3.704,2.778,5.556,0.926,1.852,8.333,2.778,27.778,5.556,1.852,3.704,2.778,1.852,3.704,11.111,5.556,46.296,11.111,5.556,6.481,8.333,1.852,3.704,11.111,5.556,46.296,11.111,5.556,6.481,8.333
17,E00023431,273.0,286.0,8.0,19.0,21.0,2.0,10.0,63.0,49.0,37.0,64.0,16.0,31.0,15.0,7.0,5.0,63.0,66.0,51.0,32.0,24.0,50.0,36.0,9.0,15.0,126.0,115.0,88.0,96.0,1.431,3.399,3.757,0.358,1.789,11.27,8.766,6.619,11.449,2.862,5.546,2.683,1.252,0.894,11.27,11.807,9.123,5.725,4.293,8.945,6.44,1.61,2.683,22.54,20.572,15.742,17.174,4.293,8.945,6.44,1.61,2.683,22.54,20.572,15.742,17.174
18,E00023432,142.0,148.0,18.0,10.0,6.0,4.0,7.0,27.0,20.0,21.0,29.0,7.0,10.0,10.0,3.0,18.0,34.0,24.0,15.0,27.0,25.0,20.0,16.0,7.0,25.0,61.0,44.0,36.0,56.0,6.207,3.448,2.069,1.379,2.414,9.31,6.897,7.241,10.0,2.414,3.448,3.448,1.034,6.207,11.724,8.276,5.172,9.31,8.621,6.897,5.517,2.414,8.621,21.034,15.172,12.414,19.31,8.621,6.897,5.517,2.414,8.621,21.034,15.172,12.414,19.31
19,E00023433,171.0,190.0,7.0,18.0,18.0,7.0,16.0,29.0,27.0,26.0,23.0,13.0,12.0,22.0,8.0,11.0,40.0,29.0,31.0,24.0,20.0,30.0,40.0,15.0,27.0,69.0,56.0,57.0,47.0,1.939,4.986,4.986,1.939,4.432,8.033,7.479,7.202,6.371,3.601,3.324,6.094,2.216,3.047,11.08,8.033,8.587,6.648,5.54,8.31,11.08,4.155,7.479,19.114,15.512,15.789,13.019,5.54,8.31,11.08,4.155,7.479,19.114,15.512,15.789,13.019
20,E00023434,194.0,186.0,7.0,16.0,14.0,10.0,19.0,43.0,30.0,36.0,19.0,8.0,19.0,22.0,6.0,20.0,50.0,18.0,31.0,12.0,15.0,35.0,36.0,16.0,39.0,93.0,48.0,67.0,31.0,1.842,4.211,3.684,2.632,5.0,11.316,7.895,9.474,5.0,2.105,5.0,5.789,1.579,5.263,13.158,4.737,8.158,3.158,3.947,9.211,9.474,4.211,10.263,24.474,12.632,17.632,8.158,3.947,9.211,9.474,4.211,10.263,24.474,12.632,17.632,8.158
21,E00023435,222.0,235.0,15.0,29.0,22.0,9.0,8.0,26.0,32.0,50.0,31.0,18.0,25.0,36.0,9.0,14.0,32.0,35.0,35.0,31.0,33.0,54.0,58.0,18.0,22.0,58.0,67.0,85.0,62.0,3.282,6.346,4.814,1.969,1.751,5.689,7.002,10.941,6.783,3.939,5.47,7.877,1.969,3.063,7.002,7.659,7.659,6.783,7.221,11.816,12.691,3.939,4.814,12.691,14.661,18.6,13.567,7.221,11.816,12.691,3.939,4.814,12.691,14.661,18.6,13.567
22,E00023436,208.0,204.0,6.0,23.0,12.0,9.0,15.0,21.0,41.0,51.0,30.0,0.0,30.0,16.0,0.0,10.0,29.0,34.0,46.0,39.0,6.0,53.0,28.0,9.0,25.0,50.0,75.0,97.0,69.0,1.456,5.583,2.913,2.184,3.641,5.097,9.951,12.379,7.282,0.0,7.282,3.883,0.0,2.427,7.039,8.252,11.165,9.466,1.456,12.864,6.796,2.184,6.068,12.136,18.204,23.544,16.748,1.456,12.864,6.796,2.184,6.068,12.136,18.204,23.544,16.748
23,E00023437,113.0,107.0,6.0,12.0,6.0,0.0,6.0,39.0,15.0,14.0,15.0,7.0,9.0,4.0,1.0,9.0,44.0,17.0,10.0,6.0,13.0,21.0,10.0,1.0,15.0,83.0,32.0,24.0,21.0,2.727,5.455,2.727,0.0,2.727,17.727,6.818,6.364,6.818,3.182,4.091,1.818,0.455,4.091,20.0,7.727,4.545,2.727,5.909,9.545,4.545,0.455,6.818,37.727,14.545,10.909,9.545,5.909,9.545,4.545,0.455,6.818,37.727,14.545,10.909,9.545
