,OA,Paycheck Mean Income,Mean Net Disposable Income,Mean Gross Disposable Income,Mean Net Disposable Income Band,"CACI_Essential_Outgoings - Income tax, NI","CACI_Essential_Outgoings - Mortgage, social rent, private rent","CACI_Essential_Outgoings - Council tax, utilities, water, structure insurance, NI domestic rates","CACI_Essential_Outgoings - Food, clothing","CACI_Essential_Outgoings - Childcare, student loans, pension",CACI_Essential_Outgoings - Travel to work,Mean over all households in an OA: Income tax - Income tax,Mean over all households in an OA: Income tax - National Insurance,Mean over all households in an OA: Income tax - Mortgage,Mean over all households in an OA: Income tax - Private rent,Mean over all households in an OA: Income tax - Social rent,Mean over all households in an OA: Income tax - Council tax,Mean over all households in an OA: Income tax - Water bills,"Mean over all households in an OA: Income tax - Gas, electricity, oil",Mean over all households in an OA: Income tax - Structure insurance,Mean over all households in an OA: Income tax - Food costs,Mean over all households in an OA: Income tax - Clothing costs,Mean over all households in an OA: Income tax - Childcare,Mean over all households in an OA: Income tax - Student loan,Mean over all households in an OA: Income tax - Pension,Mean over all households in an OA: Income tax - Travel to work,Mean over relevant households in an OA - Income tax,Mean over relevant households in an OA - National Insurance,Mean over relevant households in an OA - Mortgage,Mean over relevant households in an OA - Private rent,Mean over relevant households in an OA - Social rent,Mean over relevant households in an OA - Council tax,Mean over relevant households in an OA - Water bills,"Mean over relevant households in an OA - Gas, electricity, oil",Mean over relevant households in an OA - Structure insurance,Mean over relevant households in an OA - Food costs,Mean over relevant households in an OA - Clothing costs,Mean over relevant households in an OA - Childcare,Mean over relevant households in an OA - Student loan,Mean over relevant households in an OA - Pension,Mean over relevant households in an OA - Travel to work,Proportion of households paying % - Income tax,Proportion of households paying % - National Insurance,Proportion of households paying % - Mortgage,Proportion of households paying % - Private rent,Proportion of households paying % - Social rent,Proportion of households paying % - Council tax,Proportion of households paying % - Water bills,"Proportion of households paying % - Gas, electricity, oil",Proportion of households paying % - Structure insurance,Proportion of households paying % - Food costs,Proportion of households paying % - Clothing costs,Proportion of households paying % - Childcare,Proportion of households paying % - Student loan,Proportion of households paying % - Pension,Proportion of households paying % - Travel to work
0,E00023412,66.9,15.483,50.622,15.682,16.279,22.575,2.942,5.892,3.07,0.659,11.894,4.385,0.971,21.561,0.044,1.039,0.725,0.628,0.551,3.795,2.097,1.025,0.232,1.814,0.659,11.894,5.535,6.136,33.002,0.704,1.055,0.725,0.628,0.937,3.795,2.097,1.769,1.525,2.362,0.869,100.0,79.636,7.273,61.0,0.545,98.455,100.0,100.0,38.455,100.0,100.0,59.545,7.273,77.364,77.364
1,E00023413,64.945,26.69,49.087,25.682,15.858,10.544,3.049,5.504,2.874,0.427,11.448,4.411,1.049,9.326,0.169,0.825,0.692,0.585,0.949,3.545,1.96,0.796,0.363,1.712,0.427,11.448,5.504,7.364,27.28,1.255,0.849,0.692,0.585,1.116,3.545,1.96,1.203,2.485,2.29,0.572,100.0,80.091,7.909,30.0,2.455,97.636,100.0,100.0,67.636,100.0,100.0,57.091,13.818,74.273,74.273
2,E00023414,50.45,4.06,38.725,2.5,11.725,25.585,1.115,3.68,3.555,0.73,7.245,4.48,0.0,25.585,0.0,0.29,0.405,0.42,0.005,2.55,1.125,1.0,0.575,1.975,0.73,7.245,4.74,0.0,25.995,0.0,0.295,0.405,0.42,0.29,2.55,1.125,1.07,2.415,2.11,0.78,100.0,94.5,0.0,98.0,0.0,99.0,100.0,100.0,2.0,100.0,100.0,93.5,23.5,93.5,93.5
3,E00023415,64.85,22.147,49.152,22.917,15.697,14.768,3.006,5.738,3.068,0.428,11.382,4.314,0.662,13.998,0.108,0.977,0.702,0.614,0.709,3.716,2.022,0.907,0.343,1.815,0.428,11.382,5.308,4.375,29.748,0.645,0.977,0.702,0.614,0.89,3.716,2.022,1.682,1.908,2.235,0.527,100.0,81.167,5.083,41.583,1.417,100.0,100.0,100.0,57.0,100.0,100.0,60.167,12.167,81.167,81.167
4,E00023416,56.037,2.179,42.01,2.5,14.028,31.084,1.639,3.661,2.76,0.688,9.408,4.618,0.0,31.084,0.0,0.646,0.545,0.414,0.038,2.492,1.169,0.541,0.218,1.996,0.688,9.408,4.972,0.0,32.864,0.0,0.646,0.545,0.414,0.494,2.492,1.169,0.599,2.864,2.151,0.74,100.0,92.75,0.0,94.75,0.0,100.0,100.0,100.0,5.25,100.0,100.0,90.75,7.75,92.75,92.75
5,E00023418,57.967,16.552,43.712,16.667,14.255,15.865,2.197,4.837,3.52,0.742,9.808,4.447,0.928,14.522,0.412,0.785,0.588,0.527,0.29,3.197,1.645,1.278,0.325,1.913,0.742,9.808,4.995,10.22,31.685,3.392,0.788,0.588,0.527,0.593,3.197,1.645,1.535,2.382,2.158,0.838,100.0,88.667,7.667,45.5,5.833,99.667,100.0,100.0,48.667,100.0,100.0,82.167,13.333,88.333,88.333
6,E00023419,68.36,19.096,50.955,19.5,17.406,18.431,2.723,5.503,4.447,0.754,12.067,5.338,1.876,16.515,0.041,0.879,0.697,0.582,0.565,3.518,1.985,1.502,0.651,2.295,0.754,12.067,5.685,12.15,35.718,1.655,0.879,0.697,0.582,0.955,3.518,1.985,1.844,2.757,2.445,0.804,100.0,93.9,13.9,46.0,0.5,100.0,100.0,100.0,53.4,100.0,100.0,84.7,19.1,93.9,93.9
7,E00023421,50.38,3.2,39.172,2.5,11.21,26.352,1.38,4.12,3.462,0.66,7.04,4.172,0.118,26.13,0.104,0.444,0.446,0.47,0.02,2.844,1.276,1.136,0.468,1.852,0.66,7.04,4.518,2.7,27.728,1.242,0.448,0.446,0.47,0.302,2.844,1.276,1.274,2.022,2.02,0.722,100.0,92.2,0.8,94.6,1.6,99.4,100.0,100.0,3.8,100.0,100.0,89.4,23.8,91.6,91.6
8,E00023422,63.731,21.433,47.952,21.731,15.778,15.128,2.6,5.115,3.082,0.596,11.398,4.382,0.955,13.985,0.189,0.771,0.696,0.551,0.582,3.333,1.782,0.824,0.42,1.838,0.596,11.398,5.336,8.308,31.421,1.123,0.784,0.696,0.551,0.946,3.333,1.782,1.172,2.508,2.293,0.747,100.0,82.692,7.077,41.615,2.462,98.462,100.0,100.0,55.923,100.0,100.0,67.769,15.308,80.846,80.846
9,E00023423,57.043,11.627,42.963,11.786,14.08,20.291,1.927,4.517,3.827,0.771,9.389,4.691,1.066,19.223,0.0,0.614,0.553,0.503,0.26,3.034,1.484,1.353,0.453,2.019,0.771,9.389,5.013,7.714,29.741,0.0,0.624,0.553,0.503,0.543,3.034,1.484,1.467,2.609,2.187,0.839,100.0,93.571,7.857,67.0,0.0,98.857,100.0,100.0,33.0,100.0,100.0,90.714,17.857,92.286,92.286
