,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
0,E00023722,41.458,38.96,41.104,27.602,42.854,42.273,234.251,1.124,1.056,1.114,0.748,1.162,1.146,6.351,0.092,0.1,0.106,0.068,0.109,0.09,0.092,0.1,0.106,0.068,0.109,0.09
1,E00023889,172.035,159.076,149.526,200.685,149.722,209.299,1040.344,1.684,1.557,1.463,1.964,1.465,2.048,10.182,0.138,0.148,0.139,0.178,0.137,0.161,0.138,0.148,0.139,0.178,0.137,0.161
2,E00023808,65.957,60.862,48.344,57.693,48.669,87.199,368.724,0.661,0.61,0.485,0.578,0.488,0.874,3.697,0.054,0.058,0.046,0.052,0.046,0.069,0.054,0.058,0.046,0.052,0.046,0.069
3,E00024069,61.581,47.574,58.759,58.005,62.943,68.072,356.935,1.186,0.916,1.131,1.117,1.212,1.311,6.873,0.097,0.087,0.108,0.101,0.113,0.103,0.097,0.087,0.108,0.101,0.113,0.103
4,E00024056,114.666,94.589,126.391,78.937,111.923,107.84,634.347,1.017,0.839,1.121,0.7,0.993,0.957,5.627,0.084,0.08,0.107,0.063,0.093,0.075,0.084,0.08,0.107,0.063,0.093,0.075
5,E00023555,48.535,50.664,37.601,34.968,34.883,52.628,259.28,0.442,0.461,0.342,0.318,0.317,0.479,2.359,0.036,0.044,0.033,0.029,0.03,0.038,0.036,0.044,0.033,0.029,0.03,0.038
6,E00023887,294.705,235.184,231.074,266.507,268.815,337.895,1634.18,2.063,1.646,1.618,1.866,1.882,2.366,11.44,0.169,0.156,0.154,0.169,0.176,0.186,0.169,0.156,0.154,0.169,0.176,0.186
7,E00024042,134.745,115.022,121.168,119.333,109.035,162.803,762.106,1.245,1.063,1.12,1.103,1.007,1.504,7.041,0.102,0.101,0.107,0.1,0.094,0.119,0.102,0.101,0.107,0.1,0.094,0.119
8,E00023706,96.094,68.909,84.92,68.518,73.898,94.202,486.541,0.71,0.509,0.627,0.506,0.546,0.696,3.595,0.058,0.048,0.06,0.046,0.051,0.055,0.058,0.048,0.06,0.046,0.051,0.055
9,E00023787,87.991,88.793,72.747,76.356,76.592,97.16,499.639,0.709,0.716,0.587,0.616,0.618,0.783,4.028,0.058,0.068,0.056,0.056,0.058,0.062,0.058,0.068,0.056,0.056,0.058,0.062
