,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
0,E00023722,54.01,9.478,10.179,5.58,15.087,5.665,54.01,9.478,10.179,5.58,15.087,5.665
1,E00023889,53.414,7.668,7.536,12.516,13.209,5.656,53.414,7.668,7.536,12.516,13.209,5.656
2,E00023808,59.272,7.805,6.575,10.88,9.224,6.244,59.272,7.805,6.575,10.88,9.224,6.244
3,E00024069,55.561,5.307,9.498,10.153,14.102,5.379,55.561,5.307,9.498,10.153,14.102,5.379
4,E00024056,52.947,8.885,11.0,7.495,12.904,6.769,52.947,8.885,11.0,7.495,12.904,6.769
5,E00023555,56.014,11.815,7.331,7.473,11.601,5.765,56.014,11.815,7.331,7.473,11.601,5.765
6,E00023887,57.13,6.781,8.013,10.951,11.53,5.594,57.13,6.781,8.013,10.951,11.53,5.594
7,E00024042,55.007,7.861,8.446,10.646,11.441,6.598,55.007,7.861,8.446,10.646,11.441,6.598
8,E00023706,62.926,6.715,7.434,7.098,9.832,5.995,62.926,6.715,7.434,7.098,9.832,5.995
9,E00023787,47.084,11.184,8.921,11.358,15.144,6.31,47.084,11.184,8.921,11.358,15.144,6.31
10,E00024051,53.782,7.465,10.238,10.308,12.479,5.728,53.782,7.465,10.238,10.308,12.479,5.728
11,E00023714,49.908,6.906,9.54,12.136,15.875,5.635,49.908,6.906,9.54,12.136,15.875,5.635
12,E00023466,50.24,5.689,9.093,14.188,14.85,5.94,50.24,5.689,9.093,14.188,14.85,5.94
13,E00175213,54.16,6.784,10.519,7.97,14.794,5.772,54.16,6.784,10.519,7.97,14.794,5.772
14,E00023564,56.921,7.494,7.051,11.148,11.111,6.275,56.921,7.494,7.051,11.148,11.111,6.275
15,E00023830,58.741,6.481,7.59,9.643,12.018,5.527,58.741,6.481,7.59,9.643,12.018,5.527
16,E00023586,50.696,7.227,9.636,13.089,13.142,6.21,50.696,7.227,9.636,13.089,13.142,6.21
17,E00023507,49.972,9.567,9.805,10.875,13.639,6.143,49.972,9.567,9.805,10.875,13.639,6.143
18,E00024104,51.591,9.261,11.307,9.716,12.67,5.455,51.591,9.261,11.307,9.716,12.67,5.455
19,E00024094,47.822,19.05,8.007,7.083,11.923,6.115,47.822,19.05,8.007,7.083,11.923,6.115
20,E00023936,52.24,6.739,13.583,9.7,12.817,4.921,52.24,6.739,13.583,9.7,12.817,4.921
21,E00175182,57.154,5.734,9.928,9.53,12.477,5.177,57.154,5.734,9.928,9.53,12.477,5.177
