,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
0,E00023722,55.8,9.822,9.039,5.634,13.98,5.725,55.8,9.822,9.039,5.634,13.98,5.725
1,E00023889,56.446,8.01,5.272,13.506,11.028,5.738,56.446,8.01,5.272,13.506,11.028,5.738
2,E00023808,61.348,8.004,5.268,11.297,7.751,6.332,61.348,8.004,5.268,11.297,7.751,6.332
3,E00024069,56.899,5.33,8.671,10.431,13.262,5.407,56.899,5.33,8.671,10.431,13.262,5.407
4,E00024056,54.169,9.102,10.28,7.607,11.967,6.875,54.169,9.102,10.28,7.607,11.967,6.875
5,E00023555,57.573,12.208,6.33,7.611,10.475,5.803,57.573,12.208,6.33,7.611,10.475,5.803
6,E00023887,59.685,6.949,6.413,11.512,9.791,5.65,59.685,6.949,6.413,11.512,9.791,5.65
7,E00024042,56.526,8.04,7.444,10.993,10.323,6.675,56.526,8.04,7.444,10.993,10.323,6.675
8,E00023706,64.211,6.77,6.77,7.168,9.059,6.023,64.211,6.77,6.77,7.168,9.059,6.023
9,E00023787,49.055,11.876,7.077,12.07,13.476,6.447,49.055,11.876,7.077,12.07,13.476,6.447
10,E00024051,56.621,7.757,8.478,10.939,10.39,5.814,56.621,7.757,8.478,10.939,10.39,5.814
11,E00023714,53.588,7.241,6.696,13.457,13.261,5.758,53.588,7.241,6.696,13.457,13.261,5.758
12,E00023466,53.166,5.782,6.803,15.515,12.664,6.07,53.166,5.782,6.803,15.515,12.664,6.07
13,E00175213,58.058,7.079,8.175,8.442,12.341,5.904,58.058,7.079,8.175,8.442,12.341,5.904
14,E00023564,58.522,7.623,6.02,11.493,10.008,6.333,58.522,7.623,6.02,11.493,10.008,6.333
15,E00023830,61.486,6.623,5.93,10.089,10.293,5.578,61.486,6.623,5.93,10.089,10.293,5.578
16,E00023586,54.078,7.565,7.13,14.415,10.399,6.413,54.078,7.565,7.13,14.415,10.399,6.413
17,E00023507,52.924,10.235,7.559,11.736,11.227,6.319,52.924,10.235,7.559,11.736,11.227,6.319
18,E00024104,53.933,9.692,9.88,10.195,10.824,5.475,53.933,9.692,9.88,10.195,10.824,5.475
19,E00024094,50.983,21.532,4.969,7.453,8.747,6.315,50.983,21.532,4.969,7.453,8.747,6.315
20,E00023936,55.722,7.014,11.79,10.439,10.123,4.911,55.722,7.014,11.79,10.439,10.123,4.911
21,E00175182,61.877,5.86,7.325,10.318,9.414,5.206,61.877,5.86,7.325,10.318,9.414,5.206
22,E00023840,57.77,6.67,6.578,13.768,10.112,5.102,57.77,6.67,6.578,13.768,10.112,5.102
23,E00175255,63.231,9.436,5.795,6.923,8.821,5.795,63.231,9.436,5.795,6.923,8.821,5.795
24,E00175277,59.295,7.893,6.197,10.698,11.742,4.175,59.295,7.893,6.197,10.698,11.742,4.175
25,E00023767,58.188,6.624,6.348,10.994,11.224,6.624,58.188,6.624,6.348,10.994,11.224,6.624
26,E00023908,64.2,6.516,5.873,9.574,6.919,6.919,64.2,6.516,5.873,9.574,6.919,6.919
27,E00023475,49.62,6.72,7.079,20.161,10.883,5.537,49.62,6.72,7.079,20.161,10.883,5.537
28,E00023634,51.602,6.604,9.069,13.356,13.061,6.309,51.602,6.604,9.069,13.356,13.061,6.309
29,E00023727,52.892,7.831,8.149,11.37,13.834,5.923,52.892,7.831,8.149,11.37,13.834,5.923
30,E00024066,54.534,5.74,8.763,11.589,13.655,5.719,54.534,5.74,8.763,11.589,13.655,5.719
31,E00023991,51.451,6.588,9.15,11.529,16.026,5.255,51.451,6.588,9.15,11.529,16.026,5.255
32,E00023910,59.538,10.542,7.53,6.426,9.438,6.526,59.538,10.542,7.53,6.426,9.438,6.526
33,E00175215,55.033,7.717,8.419,8.86,14.162,5.808,55.033,7.717,8.419,8.86,14.162,5.808
34,E00023800,57.542,8.208,6.708,12.792,8.542,6.208,57.542,8.208,6.708,12.792,8.542,6.208
35,E00023920,56.183,9.364,8.202,10.758,9.775,5.718,56.183,9.364,8.202,10.758,9.775,5.718
36,E00023831,59.94,6.858,5.75,12.627,10.156,4.669,59.94,6.858,5.75,12.627,10.156,4.669
37,E00023485,67.531,6.348,5.646,7.888,6.726,5.862,67.531,6.348,5.646,7.888,6.726,5.862
38,E00024021,68.514,9.392,5.743,4.662,5.541,6.149,68.514,9.392,5.743,4.662,5.541,6.149
39,E00023738,51.536,14.047,9.219,5.399,13.608,6.19,51.536,14.047,9.219,5.399,13.608,6.19
40,E00023912,56.217,14.238,8.356,6.484,8.021,6.684,56.217,14.238,8.356,6.484,8.021,6.684
41,E00023423,56.755,11.413,5.676,11.104,9.007,6.046,56.755,11.413,5.676,11.104,9.007,6.046
42,E00023488,60.442,7.633,6.329,8.816,11.111,5.669,60.442,7.633,6.329,8.816,11.111,5.669
43,E00023500,56.922,8.488,7.14,8.512,12.176,6.762,56.922,8.488,7.14,8.512,12.176,6.762
44,E00175275,62.378,5.945,6.384,12.719,7.505,5.068,62.378,5.945,6.384,12.719,7.505,5.068
45,E00023503,58.186,7.273,7.289,9.18,12.592,5.479,58.186,7.273,7.289,9.18,12.592,5.479
46,E00175243,51.541,18.172,7.651,7.705,8.874,6.057,51.541,18.172,7.651,7.705,8.874,6.057
47,E00175246,54.486,8.466,7.67,12.663,10.347,6.368,54.486,8.466,7.67,12.663,10.347,6.368
48,E00024095,54.781,10.778,6.321,11.183,10.292,6.645,54.781,10.778,6.321,11.183,10.292,6.645
49,E00023756,54.431,7.538,6.308,14.062,10.923,6.738,54.431,7.538,6.308,14.062,10.923,6.738
50,E00024014,61.611,5.938,6.548,9.517,10.913,5.473,61.611,5.938,6.548,9.517,10.913,5.473
51,E00023620,53.79,7.213,8.912,11.611,13.043,5.431,53.79,7.213,8.912,11.611,13.043,5.431
52,E00023520,57.805,7.902,7.841,10.323,10.479,5.649,57.805,7.902,7.841,10.323,10.479,5.649
53,E00024125,61.382,7.563,6.963,10.429,8.501,5.162,61.382,7.563,6.963,10.429,8.501,5.162
54,E00024063,54.937,8.494,10.177,7.474,11.721,7.198,54.937,8.494,10.177,7.474,11.721,7.198
55,E00024105,61.987,5.731,7.781,9.148,10.252,5.1,61.987,5.731,7.781,9.148,10.252,5.1
56,E00023932,55.076,6.835,7.274,16.768,9.682,4.365,55.076,6.835,7.274,16.768,9.682,4.365
57,E00024075,56.662,7.537,8.883,12.113,9.96,4.845,56.662,7.537,8.883,12.113,9.96,4.845
58,E00175198,50.395,7.138,9.365,11.987,15.398,5.717,50.395,7.138,9.365,11.987,15.398,5.717
59,E00023728,54.088,9.504,8.38,9.964,12.315,5.749,54.088,9.504,8.38,9.964,12.315,5.749
60,E00024114,55.737,6.355,7.513,17.78,7.784,4.83,55.737,6.355,7.513,17.78,7.784,4.83
61,E00023873,60.661,7.907,5.185,12.314,8.101,5.833,60.661,7.907,5.185,12.314,8.101,5.833
62,E00024059,57.382,7.043,7.955,10.289,11.519,5.812,57.382,7.043,7.955,10.289,11.519,5.812
63,E00024115,58.085,6.176,8.873,13.557,8.279,5.03,58.085,6.176,8.873,13.557,8.279,5.03
64,E00024030,59.379,9.356,8.258,8.687,9.212,5.107,59.379,9.356,8.258,8.687,9.212,5.107
65,E00023567,50.906,8.908,7.825,19.629,7.007,5.725,50.906,8.908,7.825,19.629,7.007,5.725
66,E00023622,52.258,6.907,10.588,8.387,15.674,6.186,52.258,6.907,10.588,8.387,15.674,6.186
67,E00023632,54.549,8.024,7.514,12.599,10.998,6.317,54.549,8.024,7.514,12.599,10.998,6.317
68,E00023858,57.115,17.619,4.259,8.664,5.421,6.922,57.115,17.619,4.259,8.664,5.421,6.922
69,E00023765,52.186,10.505,8.461,11.982,10.051,6.814,52.186,10.505,8.461,11.982,10.051,6.814
70,E00023979,54.367,14.765,5.822,8.051,11.041,5.953,54.367,14.765,5.822,8.051,11.041,5.953
71,E00175230,63.428,7.832,6.132,10.491,6.612,5.504,63.428,7.832,6.132,10.491,6.612,5.504
72,E00023591,56.028,13.707,5.053,11.456,6.603,7.154,56.028,13.707,5.053,11.456,6.603,7.154
73,E00023510,57.516,7.342,7.611,11.63,10.475,5.427,57.516,7.342,7.611,11.63,10.475,5.427
74,E00023581,53.199,10.888,7.772,15.879,6.265,5.997,53.199,10.888,7.772,15.879,6.265,5.997
75,E00023441,57.056,9.407,6.292,10.202,11.179,5.864,57.056,9.407,6.292,10.202,11.179,5.864
76,E00024071,61.087,8.656,7.482,6.171,8.82,7.783,61.087,8.656,7.482,6.171,8.82,7.783
77,E00023867,55.794,12.062,5.81,14.43,6.852,5.052,55.794,12.062,5.81,14.43,6.852,5.052
78,E00024061,54.289,8.853,9.174,9.954,10.734,6.995,54.289,8.853,9.174,9.954,10.734,6.995
79,E00024140,57.127,6.179,7.23,15.541,8.723,5.201,57.127,6.179,7.23,15.541,8.723,5.201
80,E00023726,51.103,10.811,10.003,7.518,14.787,5.778,51.103,10.811,10.003,7.518,14.787,5.778
81,E00023879,57.832,8.834,5.939,13.957,7.869,5.568,57.832,8.834,5.939,13.957,7.869,5.568
82,E00023529,61.675,7.385,5.528,9.046,10.752,5.615,61.675,7.385,5.528,9.046,10.752,5.615
83,E00023443,59.265,11.342,4.633,12.3,5.911,6.55,59.265,11.342,4.633,12.3,5.911,6.55
84,E00023458,57.24,8.476,5.895,10.595,10.622,7.172,57.24,8.476,5.895,10.595,10.622,7.172
85,E00024138,50.25,6.242,11.028,13.064,14.797,4.62,50.25,6.242,11.028,13.064,14.797,4.62
86,E00023922,16.595,6.793,26.311,5.675,39.467,5.159,16.595,6.793,26.311,5.675,39.467,5.159
87,E00023541,64.857,7.215,6.248,10.524,6.136,5.02,64.857,7.215,6.248,10.524,6.136,5.02
