,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
0,E00023722,139.11,24.491,22.568,14.035,34.833,14.259,249.295,3.772,0.664,0.612,0.381,0.944,0.387,6.759,0.096,0.12,0.125,0.048,0.134,0.099,0.096,0.12,0.125,0.048,0.134,0.099
1,E00023889,630.673,89.463,58.822,150.797,123.23,64.061,1117.046,6.172,0.876,0.576,1.476,1.206,0.627,10.932,0.156,0.158,0.118,0.187,0.171,0.161,0.156,0.158,0.118,0.187,0.171,0.161
2,E00023808,245.987,32.03,21.079,45.266,31.121,25.385,400.868,2.466,0.321,0.211,0.454,0.312,0.255,4.019,0.062,0.058,0.043,0.058,0.044,0.065,0.062,0.058,0.043,0.058,0.044,0.065
3,E00024069,236.055,22.132,35.996,43.243,55.013,22.413,414.852,4.545,0.426,0.693,0.833,1.059,0.432,7.988,0.115,0.077,0.142,0.106,0.15,0.111,0.115,0.077,0.142,0.106,0.15,0.111
4,E00024056,390.82,65.607,74.063,54.954,86.434,49.619,721.497,3.467,0.582,0.657,0.487,0.767,0.44,6.4,0.088,0.105,0.135,0.062,0.109,0.113,0.088,0.105,0.135,0.062,0.109,0.113
5,E00023555,170.944,36.191,18.693,22.525,31.176,17.31,296.841,1.555,0.329,0.17,0.205,0.284,0.158,2.701,0.039,0.059,0.035,0.026,0.04,0.04,0.039,0.059,0.035,0.026,0.04,0.04
6,E00023887,1069.472,124.53,114.797,206.278,175.332,101.365,1791.774,7.487,0.872,0.804,1.444,1.227,0.71,12.544,0.19,0.157,0.165,0.183,0.174,0.182,0.19,0.157,0.165,0.183,0.174,0.182
7,E00024042,502.294,71.452,66.164,97.678,91.811,59.389,888.787,4.641,0.66,0.611,0.902,0.848,0.549,8.212,0.118,0.119,0.125,0.115,0.12,0.14,0.118,0.119,0.125,0.115,0.12,0.14
8,E00023706,355.541,37.591,37.544,39.681,50.306,33.311,553.973,2.627,0.278,0.277,0.293,0.372,0.246,4.093,0.067,0.05,0.057,0.037,0.053,0.063,0.067,0.05,0.057,0.037,0.053,0.063
9,E00023787,255.661,61.973,36.949,62.898,70.346,33.716,521.544,2.061,0.5,0.298,0.507,0.567,0.272,4.205,0.052,0.09,0.061,0.064,0.08,0.069,0.052,0.09,0.061,0.064,0.08,0.069
