,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
0,E00023722,128.353,22.551,24.166,13.276,35.874,13.475,237.695,3.48,0.611,0.655,0.36,0.973,0.365,6.444,0.093,0.115,0.105,0.049,0.114,0.095,0.093,0.115,0.105,0.049,0.114,0.095
1,E00023889,597.894,85.769,84.311,140.165,147.861,63.241,1119.242,5.852,0.839,0.825,1.372,1.447,0.619,10.954,0.157,0.158,0.132,0.186,0.169,0.161,0.157,0.158,0.132,0.186,0.169,0.161
2,E00023808,225.721,29.667,24.997,41.404,35.162,23.774,380.725,2.263,0.297,0.251,0.415,0.353,0.238,3.817,0.061,0.056,0.04,0.056,0.041,0.062,0.061,0.056,0.04,0.056,0.041,0.062
3,E00024069,215.133,20.593,36.745,39.316,54.574,20.84,387.2,4.142,0.397,0.708,0.757,1.051,0.401,7.456,0.111,0.075,0.113,0.103,0.123,0.104,0.111,0.075,0.113,0.103,0.123,0.104
4,E00024056,356.823,59.888,74.198,50.44,86.873,45.707,673.93,3.165,0.531,0.658,0.447,0.771,0.405,5.978,0.085,0.1,0.105,0.061,0.09,0.105,0.085,0.1,0.105,0.061,0.09,0.105
5,E00023555,156.348,32.888,20.533,20.766,32.395,16.143,279.074,1.423,0.299,0.187,0.189,0.295,0.147,2.539,0.038,0.057,0.03,0.026,0.034,0.038,0.038,0.057,0.03,0.026,0.034,0.038
6,E00023887,993.531,117.95,139.356,190.449,200.551,97.407,1739.243,6.955,0.826,0.976,1.333,1.404,0.682,12.176,0.186,0.156,0.156,0.181,0.164,0.177,0.186,0.156,0.156,0.181,0.164,0.177
7,E00024042,459.693,65.738,70.534,88.999,95.652,55.042,835.658,4.247,0.607,0.652,0.822,0.884,0.509,7.721,0.114,0.114,0.104,0.112,0.103,0.133,0.114,0.114,0.104,0.112,0.103,0.133
8,E00023706,320.741,34.241,37.816,36.095,50.039,30.447,509.38,2.37,0.253,0.279,0.267,0.37,0.225,3.763,0.064,0.048,0.045,0.036,0.043,0.059,0.064,0.048,0.045,0.036,0.043,0.059
9,E00023787,242.421,57.576,45.841,58.396,78.071,32.516,514.821,1.954,0.464,0.37,0.471,0.629,0.262,4.151,0.052,0.088,0.059,0.064,0.074,0.068,0.052,0.088,0.059,0.064,0.074,0.068
10,E00024051,889.717,123.433,169.424,170.557,206.384,94.789,1654.304,6.938,0.963,1.321,1.33,1.609,0.739,12.9,0.186,0.182,0.212,0.18,0.189,0.192,0.186,0.182,0.212,0.18,0.189,0.192
