,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
0,E00023722,44.248,11.702,15.006,3.727,19.851,5.466,44.248,11.702,15.006,3.727,19.851,5.466
1,E00023889,49.195,10.265,8.172,14.646,11.141,6.581,49.195,10.265,8.172,14.646,11.141,6.581
2,E00023808,53.827,10.355,6.703,12.056,8.404,8.654,53.827,10.355,6.703,12.056,8.404,8.654
3,E00024069,47.618,4.335,14.902,9.709,18.04,5.396,47.618,4.335,14.902,9.709,18.04,5.396
4,E00024056,45.364,9.483,16.23,5.096,15.121,8.705,45.364,9.483,16.23,5.096,15.121,8.705
5,E00023555,47.976,17.66,8.609,6.696,12.288,6.77,47.976,17.66,8.609,6.696,12.288,6.77
6,E00023887,50.713,7.84,10.662,12.249,12.089,6.445,50.713,7.84,10.662,12.249,12.089,6.445
7,E00024042,50.783,8.524,10.893,9.687,11.527,8.587,50.783,8.524,10.893,9.687,11.527,8.587
8,E00023706,56.983,7.202,9.781,6.326,12.214,7.494,56.983,7.202,9.781,6.326,12.214,7.494
9,E00023787,41.779,15.703,9.594,11.152,14.022,7.749,41.779,15.703,9.594,11.152,14.022,7.749
10,E00024051,49.779,7.678,14.232,9.332,12.868,6.112,49.779,7.678,14.232,9.332,12.868,6.112
11,E00023714,45.279,7.853,11.454,13.312,15.859,6.244,45.279,7.853,11.454,13.312,15.859,6.244
12,E00023466,46.941,5.426,12.03,15.724,12.491,7.389,46.941,5.426,12.03,15.724,12.491,7.389
13,E00175213,57.058,5.746,12.598,5.616,13.476,5.507,57.058,5.746,12.598,5.616,13.476,5.507
14,E00023564,51.028,9.533,7.951,12.54,9.612,9.335,51.028,9.533,7.951,12.54,9.612,9.335
15,E00023830,61.184,6.368,8.308,8.643,9.995,5.501,61.184,6.368,8.308,8.643,9.995,5.501
16,E00023586,45.049,7.838,11.52,14.449,13.947,7.197,45.049,7.838,11.52,14.449,13.947,7.197
