,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value
0,E00023775,53.035,32.69,30.046,35.023,35.999,64.621,93.53,57.65,52.987,61.765,63.486,113.962,443.38
1,E00024064,78.435,44.48,38.939,39.624,46.936,99.44,138.324,78.442,68.671,69.879,82.774,175.367,613.456
2,E00023730,129.354,69.371,71.024,78.592,89.177,144.484,228.121,122.339,125.254,138.6,157.268,254.804,1026.386
3,E00175255,43.511,21.494,19.154,22.683,24.49,53.087,76.734,37.906,33.779,40.002,43.189,93.621,325.231
4,E00023969,77.629,46.938,45.212,47.1,55.74,105.435,136.902,82.777,79.733,83.063,98.3,185.939,666.715
5,E00024091,50.002,34.429,26.987,26.417,26.144,63.388,88.181,60.717,47.593,46.588,46.106,111.788,400.972
6,E00023703,170.492,107.923,101.224,99.195,133.461,190.575,300.67,190.327,178.513,174.935,235.364,336.087,1415.897
7,E00024022,127.807,71.674,61.733,65.131,73.629,149.211,225.393,126.4,108.869,114.861,129.848,263.14,968.512
8,E00023444,56.889,38.333,31.239,36.894,46.014,68.978,100.326,67.602,55.091,65.064,81.148,121.646,490.877
9,E00023926,125.496,66.578,80.675,70.67,106.068,140.106,221.318,117.413,142.274,124.63,187.056,247.083,1039.773
10,E00023851,33.663,19.761,13.729,22.802,14.61,40.729,59.366,34.849,24.212,40.212,25.765,71.827,256.232
11,E00023795,57.586,36.285,33.367,37.659,39.561,71.388,101.555,63.99,58.844,66.413,69.768,125.896,486.467
12,E00023502,283.832,182.107,168.207,178.488,214.43,357.253,500.55,321.154,296.64,314.771,378.157,630.031,2441.304
13,E00023687,169.885,108.727,105.013,109.269,125.541,200.666,299.6,191.745,185.195,192.701,221.397,353.883,1444.521
14,E00023531,48.022,31.02,28.729,32.771,36.898,58.368,84.689,54.705,50.665,57.793,65.071,102.935,415.858
15,E00023465,120.589,80.337,73.442,74.891,83.766,136.281,212.664,141.678,129.518,132.074,147.725,240.338,1003.996
16,E00023601,198.081,117.874,109.31,118.264,133.471,209.085,349.325,207.876,192.773,208.564,235.382,368.731,1562.65
17,E00023516,190.465,115.771,111.757,107.373,136.566,211.814,335.893,204.167,197.088,189.357,240.84,373.543,1540.89
18,E00023526,301.854,173.94,176.334,161.819,220.407,340.078,532.333,306.751,310.973,285.375,388.697,599.743,2423.871
19,E00023901,14.041,10.359,5.127,6.86,5.867,15.605,24.762,18.269,9.042,12.098,10.347,27.52,102.037
20,E00023517,238.127,151.772,131.843,143.316,159.307,288.569,419.947,267.657,232.511,252.744,280.945,508.904,1962.708
21,E00023779,47.564,26.192,22.197,33.379,29.402,53.542,83.881,46.191,39.145,58.865,51.852,94.424,374.358
22,E00175243,52.354,30.768,27.823,25.459,26.747,61.782,92.329,54.261,49.067,44.898,47.17,108.955,396.679
