,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,[per_effective_area_square_meter] - worker_units,[per_effective_area_square_meter] - student_units,[per_effective_area_square_meter] - tourist_units,[per_effective_area_square_meter] - shopper_units,[per_effective_area_square_meter] - leisurer_units,[per_effective_area_square_meter] - chorer_units,[%_of_borough_total] - [per_effective_area_square_meter] - worker_units,[%_of_borough_total] - [per_effective_area_square_meter] - student_units,[%_of_borough_total] - [per_effective_area_square_meter] - tourist_units,[%_of_borough_total] - [per_effective_area_square_meter] - shopper_units,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_borough_total] - [per_effective_area_square_meter] - chorer_units,[per_effective_area_square_meter] - total_units,[%_of_OA_total] - [per_effective_area_square_meter] - worker_units,[%_of_OA_total] - [per_effective_area_square_meter] - student_units,[%_of_OA_total] - [per_effective_area_square_meter] - tourist_units,[%_of_OA_total] - [per_effective_area_square_meter] - shopper_units,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_OA_total] - [per_effective_area_square_meter] - chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value,[per_effective_area_square_meter] - worker_value,[per_effective_area_square_meter] - student_value,[per_effective_area_square_meter] - tourist_value,[per_effective_area_square_meter] - shopper_value,[per_effective_area_square_meter] - leisurer_value,[per_effective_area_square_meter] - chorer_value,[per_effective_area_square_meter] - total_value
0,E00023722,32.218,18.657,14.231,20.529,16.626,32.992,0.874,0.506,0.386,0.557,0.451,0.894,0.103,0.098,0.082,0.114,0.08,0.089,3.668,23.828,13.795,10.523,15.185,12.296,24.373,56.818,32.902,25.097,36.204,29.321,58.183,238.525,1.54,0.892,0.68,0.982,0.795,1.577,6.467
1,E00023889,135.203,93.776,68.856,81.431,78.659,173.644,1.323,0.918,0.674,0.797,0.77,1.699,0.156,0.179,0.144,0.163,0.137,0.169,6.181,21.404,14.852,10.904,12.894,12.458,27.487,238.436,165.378,121.431,143.607,138.719,306.229,1113.8,2.334,1.619,1.188,1.405,1.358,2.997,10.901
2,E00023808,48.059,29.656,21.69,34.182,26.801,54.653,0.482,0.297,0.217,0.343,0.269,0.548,0.057,0.058,0.046,0.07,0.048,0.055,2.156,22.356,13.776,10.065,15.909,12.477,25.417,84.754,52.3,38.251,60.281,47.265,96.383,379.234,0.85,0.524,0.384,0.604,0.474,0.966,3.802
3,E00024069,50.088,28.22,24.323,25.948,30.516,63.82,0.964,0.543,0.468,0.5,0.588,1.229,0.113,0.106,0.1,0.102,0.104,0.122,4.292,22.46,12.651,10.904,11.65,13.7,28.635,88.332,49.767,42.895,45.76,53.816,112.549,393.12,1.701,0.958,0.826,0.881,1.036,2.167,7.57
4,E00024056,77.127,48.053,45.135,54.165,57.649,99.865,0.684,0.426,0.4,0.48,0.511,0.886,0.081,0.083,0.085,0.098,0.091,0.088,3.387,20.195,12.578,11.81,14.172,15.087,26.159,136.017,84.744,79.598,95.522,101.667,176.116,673.663,1.206,0.752,0.706,0.847,0.902,1.562,5.975
5,E00023555,36.596,21.818,16.3,21.61,19.049,43.732,0.333,0.199,0.148,0.197,0.173,0.398,0.039,0.039,0.032,0.04,0.031,0.04,1.448,22.997,13.743,10.221,13.605,11.948,27.486,64.539,38.477,28.746,38.11,33.594,77.123,280.589,0.587,0.35,0.262,0.347,0.306,0.702,2.553
6,E00023887,199.313,147.904,114.623,150.128,132.821,233.945,1.395,1.035,0.802,1.051,0.93,1.638,0.164,0.201,0.171,0.214,0.165,0.163,6.851,20.362,15.107,11.706,15.341,13.575,23.909,351.497,260.835,202.143,264.757,234.236,412.572,1726.041,2.461,1.826,1.415,1.853,1.64,2.888,12.084
7,E00024042,99.799,67.991,57.408,61.555,68.888,121.143,0.922,0.628,0.53,0.569,0.636,1.119,0.109,0.122,0.113,0.116,0.113,0.111,4.404,20.936,14.26,12.035,12.92,14.441,25.409,176.0,119.905,101.242,108.555,121.487,213.641,840.83,1.626,1.108,0.935,1.003,1.122,1.974,7.769
8,E00023706,67.856,39.42,31.771,40.229,40.085,73.1,0.501,0.291,0.235,0.297,0.296,0.54,0.059,0.057,0.05,0.061,0.053,0.054,2.16,23.194,13.472,10.88,13.75,13.704,25.0,119.667,69.519,56.03,70.946,70.692,128.915,515.768,0.884,0.514,0.414,0.524,0.522,0.952,3.811
9,E00023787,60.522,36.541,37.604,40.446,40.379,75.101,0.488,0.295,0.303,0.326,0.326,0.605,0.057,0.057,0.065,0.066,0.058,0.06,2.343,20.828,12.591,12.932,13.914,13.914,25.822,106.733,64.442,66.316,71.328,71.21,132.444,512.474,0.861,0.52,0.535,0.575,0.574,1.068,4.132
10,E00024051,200.18,107.026,123.453,107.952,158.393,240.768,1.561,0.835,0.963,0.842,1.235,1.877,0.184,0.162,0.206,0.172,0.219,0.187,7.313,21.346,11.418,13.168,11.514,16.888,25.667,353.026,188.745,217.715,190.378,279.333,424.605,1653.802,2.753,1.472,1.698,1.485,2.178,3.311,12.896
11,E00023714,213.418,130.166,126.824,136.577,160.749,259.466,1.153,0.703,0.685,0.738,0.869,1.402,0.136,0.137,0.146,0.151,0.154,0.14,5.55,20.775,12.667,12.342,13.297,15.658,25.261,376.372,229.553,223.66,240.86,283.488,457.58,1811.513,2.034,1.241,1.209,1.302,1.532,2.473,9.79
12,E00023466,115.661,77.807,70.762,68.758,79.194,125.881,0.957,0.644,0.586,0.569,0.655,1.042,0.113,0.125,0.125,0.116,0.116,0.104,4.453,21.491,14.462,13.16,12.778,14.709,23.4,203.973,137.216,124.792,121.258,139.662,221.997,948.898,1.688,1.136,1.033,1.004,1.156,1.837,7.854
