,OA,bar,cafe,restaurant,[normalized_to_[0-1]] - bar,[normalized_to_[0-1]] - cafe,[normalized_to_[0-1]] - restaurant,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - resident_count,[per_effective_area_square_meter] - visitors_total_count,[per_effective_area_square_meter] - total_count,[normalized_to_[0-1]] - [per_effective_area_square_meter] - worker_count,[normalized_to_[0-1]] - [per_effective_area_square_meter] - student_count,[normalized_to_[0-1]] - [per_effective_area_square_meter] - tourist_count,[normalized_to_[0-1]] - [per_effective_area_square_meter] - shopper_count,[normalized_to_[0-1]] - [per_effective_area_square_meter] - leisurer_count,[normalized_to_[0-1]] - [per_effective_area_square_meter] - chorer_count,[normalized_to_[0-1]] - [per_effective_area_square_meter] - resident_count,[normalized_to_[0-1]] - [per_effective_area_square_meter] - visitors_total_count,[normalized_to_[0-1]] - [per_effective_area_square_meter] - total_count,[supply - demand] - [normalized_[0-1]_proportions] - bar_worker,[supply - demand] - [normalized_[0-1]_proportions] - bar_student,[supply - demand] - [normalized_[0-1]_proportions] - bar_tourist,[supply - demand] - [normalized_[0-1]_proportions] - bar_shopper,[supply - demand] - [normalized_[0-1]_proportions] - bar_leisurer,[supply - demand] - [normalized_[0-1]_proportions] - bar_chorer,[supply - demand] - [normalized_[0-1]_proportions] - bar_resident,[supply - demand] - [normalized_[0-1]_proportions] - cafe_worker,[supply - demand] - [normalized_[0-1]_proportions] - cafe_student,[supply - demand] - [normalized_[0-1]_proportions] - cafe_tourist,[supply - demand] - [normalized_[0-1]_proportions] - cafe_shopper,[supply - demand] - [normalized_[0-1]_proportions] - cafe_leisurer,[supply - demand] - [normalized_[0-1]_proportions] - cafe_chorer,[supply - demand] - [normalized_[0-1]_proportions] - cafe_resident,[supply - demand] - [normalized_[0-1]_proportions] - restaurant_worker,[supply - demand] - [normalized_[0-1]_proportions] - restaurant_student,[supply - demand] - [normalized_[0-1]_proportions] - restaurant_tourist,[supply - demand] - [normalized_[0-1]_proportions] - restaurant_shopper,[supply - demand] - [normalized_[0-1]_proportions] - restaurant_leisurer,[supply - demand] - [normalized_[0-1]_proportions] - restaurant_chorer,[supply - demand] - [normalized_[0-1]_proportions] - restaurant_resident,[supply - demand] - [normalized_[0-1]_proportions] - bar_visitors_total,[supply - demand] - [normalized_[0-1]_proportions] - bar_total,[supply - demand] - [normalized_[0-1]_proportions] - cafe_visitors_total,[supply - demand] - [normalized_[0-1]_proportions] - cafe_total,[supply - demand] - [normalized_[0-1]_proportions] - restaurant_visitors_total,[supply - demand] - [normalized_[0-1]_proportions] - restaurant_total,[supply_demand_index] - bar_worker,[supply_demand_index] - bar_student,[supply_demand_index] - bar_tourist,[supply_demand_index] - bar_shopper,[supply_demand_index] - bar_leisurer,[supply_demand_index] - bar_chorer,[supply_demand_index] - bar_resident,[supply_demand_index] - cafe_worker,[supply_demand_index] - cafe_student,[supply_demand_index] - cafe_tourist,[supply_demand_index] - cafe_shopper,[supply_demand_index] - cafe_leisurer,[supply_demand_index] - cafe_chorer,[supply_demand_index] - cafe_resident,[supply_demand_index] - restaurant_worker,[supply_demand_index] - restaurant_student,[supply_demand_index] - restaurant_tourist,[supply_demand_index] - restaurant_shopper,[supply_demand_index] - restaurant_leisurer,[supply_demand_index] - restaurant_chorer,[supply_demand_index] - restaurant_resident,[supply_demand_index] - bar_visitors_total,[supply_demand_index] - bar_total,[supply_demand_index] - cafe_visitors_total,[supply_demand_index] - cafe_total,[supply_demand_index] - restaurant_visitors_total,[supply_demand_index] - restaurant_total,[shared_scale] - [supply_demand_index] - bar_worker,[shared_scale] - [supply_demand_index] - bar_student,[shared_scale] - [supply_demand_index] - bar_tourist,[shared_scale] - [supply_demand_index] - bar_shopper,[shared_scale] - [supply_demand_index] - bar_leisurer,[shared_scale] - [supply_demand_index] - bar_chorer,[shared_scale] - [supply_demand_index] - bar_resident,[shared_scale] - [supply_demand_index] - cafe_worker,[shared_scale] - [supply_demand_index] - cafe_student,[shared_scale] - [supply_demand_index] - cafe_tourist,[shared_scale] - [supply_demand_index] - cafe_shopper,[shared_scale] - [supply_demand_index] - cafe_leisurer,[shared_scale] - [supply_demand_index] - cafe_chorer,[shared_scale] - [supply_demand_index] - cafe_resident,[shared_scale] - [supply_demand_index] - restaurant_worker,[shared_scale] - [supply_demand_index] - restaurant_student,[shared_scale] - [supply_demand_index] - restaurant_tourist,[shared_scale] - [supply_demand_index] - restaurant_shopper,[shared_scale] - [supply_demand_index] - restaurant_leisurer,[shared_scale] - [supply_demand_index] - restaurant_chorer,[shared_scale] - [supply_demand_index] - restaurant_resident
0,E00023722,0.081,0.0,0.054,0.078,0.0,0.028,3.041,0.805,1.032,0.256,1.365,0.375,1.573,6.874,8.447,0.156,0.291,0.139,0.05,0.189,0.173,0.135,0.191,0.19,-0.078,-0.213,-0.061,0.028,-0.111,-0.095,-0.057,-0.156,-0.291,-0.139,-0.05,-0.189,-0.173,-0.135,-0.128,-0.263,-0.11,-0.022,-0.161,-0.145,-0.107,-0.113,-0.112,-0.191,-0.19,-0.163,-0.162,37.388,9.897,12.688,3.147,16.782,4.61,19.339,152.05,40.25,51.6,12.8,68.25,18.75,78.65,56.082,14.846,19.032,4.721,25.173,6.916,29.009,84.513,103.852,343.7,422.35,126.769,155.779,37.388,9.897,12.688,3.147,16.782,4.61,19.339,152.05,40.25,51.6,12.8,68.25,18.75,78.65,56.082,14.846,19.032,4.721,25.173,6.916,29.009
1,E00023889,0.069,0.078,0.274,0.066,0.167,0.143,4.699,0.981,0.78,1.4,1.064,0.629,3.269,9.553,12.822,0.257,0.36,0.103,0.308,0.145,0.317,0.281,0.279,0.334,-0.191,-0.295,-0.037,-0.242,-0.08,-0.251,-0.216,-0.09,-0.193,0.064,-0.141,0.022,-0.15,-0.114,-0.114,-0.218,0.04,-0.165,-0.003,-0.174,-0.139,-0.213,-0.268,-0.112,-0.167,-0.136,-0.191,68.59,14.319,11.385,20.435,15.531,9.181,47.717,60.016,12.529,9.962,17.881,13.589,8.034,41.752,17.147,3.58,2.846,5.109,3.883,2.295,11.929,139.442,187.158,122.012,163.764,34.86,46.79,68.59,14.319,11.385,20.435,15.531,9.181,47.717,60.016,12.529,9.962,17.881,13.589,8.034,41.752,17.147,3.58,2.846,5.109,3.883,2.295,11.929
2,E00023808,0.01,0.03,0.04,0.01,0.064,0.021,1.838,0.353,0.229,0.412,0.287,0.296,2.757,3.415,6.172,0.083,0.113,0.024,0.085,0.032,0.129,0.237,0.078,0.115,-0.073,-0.103,-0.014,-0.076,-0.022,-0.119,-0.228,-0.019,-0.049,0.041,-0.021,0.032,-0.065,-0.173,-0.062,-0.092,-0.003,-0.064,-0.011,-0.108,-0.216,-0.068,-0.105,-0.014,-0.051,-0.057,-0.094,91.9,17.65,11.45,20.6,14.35,14.8,137.85,61.108,11.736,7.614,13.698,9.542,9.841,91.661,45.831,8.802,5.71,10.273,7.156,7.381,68.746,170.75,308.6,113.538,205.199,85.153,153.9,91.9,17.65,11.45,20.6,14.35,14.8,137.85,61.108,11.736,7.614,13.698,9.542,9.841,91.661,45.831,8.802,5.71,10.273,7.156,7.381,68.746
3,E00024069,0.039,0.0,0.116,0.037,0.0,0.06,3.602,0.328,1.127,0.734,1.365,0.409,2.888,7.565,10.453,0.19,0.103,0.152,0.158,0.189,0.193,0.249,0.214,0.256,-0.153,-0.066,-0.115,-0.121,-0.152,-0.156,-0.212,-0.19,-0.103,-0.152,-0.158,-0.189,-0.193,-0.249,-0.13,-0.043,-0.092,-0.098,-0.129,-0.132,-0.188,-0.177,-0.219,-0.214,-0.256,-0.153,-0.196,93.534,8.517,29.265,19.06,35.445,10.621,74.994,180.1,16.4,56.35,36.7,68.25,20.45,144.4,31.178,2.839,9.755,6.353,11.815,3.54,24.998,196.443,271.437,378.25,522.65,65.481,90.479,93.534,8.517,29.265,19.06,35.445,10.621,74.994,180.1,16.4,56.35,36.7,68.25,20.45,144.4,31.178,2.839,9.755,6.353,11.815,3.54,24.998
4,E00024056,0.018,0.035,0.044,0.017,0.076,0.023,3.285,0.687,1.176,0.369,1.094,0.629,2.705,7.24,9.945,0.171,0.245,0.159,0.076,0.15,0.317,0.233,0.203,0.239,-0.154,-0.228,-0.142,-0.059,-0.133,-0.3,-0.216,-0.095,-0.169,-0.084,0.0,-0.074,-0.241,-0.157,-0.148,-0.221,-0.136,-0.053,-0.127,-0.294,-0.21,-0.186,-0.222,-0.127,-0.164,-0.18,-0.216,164.25,34.35,58.8,18.45,54.7,31.45,135.25,92.586,19.363,33.145,10.4,30.834,17.728,76.239,74.069,15.49,26.516,8.32,24.667,14.182,60.991,362.0,497.25,204.055,280.294,163.244,224.235,164.25,34.35,58.8,18.45,54.7,31.45,135.25,92.586,19.363,33.145,10.4,30.834,17.728,76.239,74.069,15.49,26.516,8.32,24.667,14.182,60.991
5,E00023555,0.009,0.027,0.018,0.009,0.058,0.009,1.113,0.411,0.2,0.156,0.286,0.158,2.839,2.324,5.163,0.039,0.136,0.019,0.028,0.032,0.051,0.244,0.042,0.082,-0.03,-0.127,-0.011,-0.019,-0.023,-0.042,-0.236,0.019,-0.078,0.039,0.031,0.026,0.007,-0.186,-0.03,-0.126,-0.01,-0.018,-0.022,-0.041,-0.235,-0.033,-0.073,0.016,-0.024,-0.032,-0.072,55.65,20.55,10.0,7.8,14.3,7.9,141.95,40.774,15.057,7.327,5.715,10.477,5.788,104.006,55.65,20.55,10.0,7.8,14.3,7.9,141.95,116.2,258.15,85.139,189.144,116.2,258.15,55.65,20.55,10.0,7.8,14.3,7.9,141.95,40.774,15.057,7.327,5.715,10.477,5.788,104.006,55.65,20.55,10.0,7.8,14.3,7.9,141.95
6,E00023887,0.035,0.077,0.203,0.034,0.164,0.106,5.401,0.835,1.135,1.305,1.288,0.687,1.918,10.651,12.569,0.3,0.303,0.153,0.286,0.178,0.35,0.165,0.315,0.326,-0.266,-0.269,-0.12,-0.253,-0.144,-0.316,-0.131,-0.135,-0.139,0.011,-0.122,-0.014,-0.185,-0.001,-0.194,-0.197,-0.048,-0.181,-0.072,-0.244,-0.059,-0.281,-0.292,-0.15,-0.161,-0.209,-0.22,154.298,23.855,32.425,37.282,36.796,19.626,54.794,70.135,10.843,14.739,16.946,16.725,8.921,24.906,26.603,4.113,5.591,6.428,6.344,3.384,9.447,304.282,359.076,138.31,163.216,52.462,61.91,154.298,23.855,32.425,37.282,36.796,19.626,54.794,70.135,10.843,14.739,16.946,16.725,8.921,24.906,26.603,4.113,5.591,6.428,6.344,3.384,9.447
7,E00024042,0.0,0.028,0.028,0.0,0.059,0.014,4.101,0.688,0.879,0.783,0.931,0.693,1.894,8.075,9.969,0.221,0.245,0.117,0.169,0.126,0.353,0.163,0.23,0.24,-0.221,-0.245,-0.117,-0.169,-0.126,-0.353,-0.163,-0.162,-0.186,-0.058,-0.11,-0.067,-0.294,-0.104,-0.206,-0.231,-0.102,-0.154,-0.111,-0.339,-0.149,-0.23,-0.24,-0.171,-0.181,-0.216,-0.226,205.05,34.4,43.95,39.15,46.55,34.65,94.7,147.952,24.821,31.712,28.248,33.588,25.001,68.33,147.952,24.821,31.712,28.248,33.588,25.001,68.33,403.75,498.45,291.322,359.652,291.322,359.652,205.05,34.4,43.95,39.15,46.55,34.65,94.7,147.952,24.821,31.712,28.248,33.588,25.001,68.33,147.952,24.821,31.712,28.248,33.588,25.001,68.33
8,E00023706,0.007,0.0,0.022,0.007,0.0,0.012,1.999,0.253,0.343,0.223,0.429,0.264,1.877,3.511,5.388,0.093,0.074,0.04,0.043,0.053,0.111,0.162,0.081,0.089,-0.086,-0.067,-0.033,-0.036,-0.046,-0.104,-0.154,-0.093,-0.074,-0.04,-0.043,-0.053,-0.111,-0.162,-0.081,-0.062,-0.028,-0.031,-0.041,-0.099,-0.15,-0.074,-0.082,-0.081,-0.089,-0.069,-0.078,99.95,12.65,17.15,11.15,21.45,13.2,93.85,99.95,12.65,17.15,11.15,21.45,13.2,93.85,90.191,11.415,15.476,10.061,19.356,11.911,84.687,175.55,269.4,175.55,269.4,158.41,243.096,99.95,12.65,17.15,11.15,21.45,13.2,93.85,99.95,12.65,17.15,11.15,21.45,13.2,93.85,90.191,11.415,15.476,10.061,19.356,11.911,84.687
9,E00023787,0.016,0.032,0.048,0.015,0.069,0.025,1.74,0.654,0.4,0.465,0.584,0.323,2.072,4.166,6.238,0.077,0.232,0.048,0.097,0.075,0.144,0.178,0.102,0.117,-0.062,-0.216,-0.033,-0.082,-0.06,-0.129,-0.163,-0.008,-0.163,0.021,-0.028,-0.007,-0.075,-0.11,-0.052,-0.206,-0.023,-0.072,-0.05,-0.119,-0.153,-0.087,-0.102,-0.033,-0.048,-0.077,-0.092,87.0,32.7,20.0,23.25,29.2,16.15,103.6,53.955,20.28,12.403,14.419,18.109,10.016,64.25,35.97,13.52,8.269,9.613,12.073,6.677,42.833,208.3,311.9,129.182,193.432,86.121,128.955,87.0,32.7,20.0,23.25,29.2,16.15,103.6,53.955,20.28,12.403,14.419,18.109,10.016,64.25,35.97,13.52,8.269,9.613,12.073,6.677,42.833
