,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
0,E00023722,17.702,16.635,17.55,11.776,18.293,18.045,17.702,16.635,17.55,11.776,18.293,18.045
1,E00023889,16.542,15.294,14.367,19.287,14.391,20.119,16.542,15.294,14.367,19.287,14.391,20.119
2,E00023808,17.899,16.492,13.122,15.641,13.187,23.658,17.899,16.492,13.122,15.641,13.187,23.658
3,E00024069,17.254,13.327,16.461,16.25,17.641,19.067,17.254,13.327,16.461,16.25,17.641,19.067
4,E00024056,18.082,14.9,19.931,12.449,17.631,17.007,18.082,14.9,19.931,12.449,17.631,17.007
5,E00023555,18.718,19.538,14.513,13.487,13.436,20.308,18.718,19.538,14.513,13.487,13.436,20.308
6,E00023887,18.033,14.395,14.141,16.309,16.446,20.677,18.033,14.395,14.141,16.309,16.446,20.677
7,E00024042,17.683,15.089,15.896,15.656,14.315,21.361,17.683,15.089,15.896,15.656,14.315,21.361
8,E00023706,19.758,14.17,17.469,14.069,15.18,19.354,19.758,14.17,17.469,14.069,15.18,19.354
9,E00023787,17.603,17.783,14.569,15.29,15.32,19.435,17.603,17.783,14.569,15.29,15.32,19.435
10,E00024051,18.305,14.867,17.746,15.519,16.702,16.861,18.305,14.867,17.746,15.519,16.702,16.861
11,E00023714,16.421,15.419,15.119,17.021,15.67,20.35,16.421,15.419,15.119,17.021,15.67,20.35
12,E00023466,16.476,13.314,15.014,16.969,16.46,21.767,16.476,13.314,15.014,16.969,16.46,21.767
13,E00175213,21.821,13.514,16.138,13.583,18.406,16.538,21.821,13.514,16.138,13.583,18.406,16.538
14,E00023564,18.078,15.707,15.16,17.739,12.894,20.422,18.078,15.707,15.16,17.739,12.894,20.422
15,E00023830,21.402,14.192,14.119,16.341,14.948,18.997,21.402,14.192,14.119,16.341,14.948,18.997
16,E00023586,17.341,14.718,14.463,15.865,16.43,21.184,17.341,14.718,14.463,15.865,16.43,21.184
17,E00023507,17.002,15.855,15.764,16.919,16.577,17.883,17.002,15.855,15.764,16.919,16.577,17.883
18,E00024104,19.879,15.655,17.004,13.809,18.601,15.051,19.879,15.655,17.004,13.809,18.601,15.051
19,E00024094,17.377,25.292,13.931,12.266,13.581,17.553,17.377,25.292,13.931,12.266,13.581,17.553
20,E00023936,19.206,14.171,19.168,14.696,18.635,14.125,19.206,14.171,19.168,14.696,18.635,14.125
21,E00175182,19.291,14.031,16.025,15.072,17.561,18.02,19.291,14.031,16.025,15.072,17.561,18.02
22,E00023840,18.952,14.582,14.66,18.952,14.931,17.924,18.952,14.582,14.66,18.952,14.931,17.924
23,E00175255,18.869,18.314,14.811,13.354,13.458,21.193,18.869,18.314,14.811,13.354,13.458,21.193
24,E00175277,17.42,17.161,15.53,18.384,14.492,17.013,17.42,17.161,15.53,18.384,14.492,17.013
25,E00023767,18.661,13.701,15.046,16.195,15.635,20.762,18.661,13.701,15.046,16.195,15.635,20.762
26,E00023908,20.812,13.801,15.47,14.023,12.521,23.372,20.812,13.801,15.47,14.023,12.521,23.372
27,E00023475,14.592,13.916,14.451,23.678,15.343,18.02,14.592,13.916,14.451,23.678,15.343,18.02
28,E00023634,15.083,12.851,17.557,18.19,17.738,18.582,15.083,12.851,17.557,18.19,17.738,18.582
29,E00023727,16.882,15.385,16.345,15.991,16.676,18.721,16.882,15.385,16.345,15.991,16.676,18.721
30,E00024066,16.584,13.832,17.336,17.151,17.364,17.733,16.584,13.832,17.336,17.151,17.364,17.733
31,E00023991,15.422,13.87,16.973,16.781,19.437,17.517,15.422,13.87,16.973,16.781,19.437,17.517
32,E00023910,20.514,18.444,15.684,11.669,14.68,19.009,20.514,18.444,15.684,11.669,14.68,19.009
33,E00175215,17.551,15.301,16.855,14.15,17.572,18.571,17.551,15.301,16.855,14.15,17.572,18.571
34,E00023800,18.632,15.561,13.806,16.0,14.658,21.342,18.632,15.561,13.806,16.0,14.658,21.342
35,E00023920,18.185,16.44,17.521,15.191,15.816,16.847,18.185,16.44,17.521,15.191,15.816,16.847
36,E00023831,17.27,14.937,14.879,19.149,15.379,18.385,17.27,14.937,14.879,19.149,15.379,18.385
37,E00023485,20.223,14.137,15.065,14.508,15.714,20.353,20.223,14.137,15.065,14.508,15.714,20.353
38,E00024021,20.527,18.186,14.383,12.677,13.116,21.112,20.527,18.186,14.383,12.677,13.116,21.112
39,E00023738,17.297,20.92,17.8,11.214,16.874,15.895,17.297,20.92,17.8,11.214,16.874,15.895
40,E00023912,19.286,20.569,16.52,11.147,15.036,17.442,19.286,20.569,16.52,11.147,15.036,17.442
41,E00023423,17.586,20.946,13.936,14.89,11.116,21.526,17.586,20.946,13.936,14.89,11.116,21.526
42,E00023488,20.502,15.748,14.861,14.965,14.527,19.397,20.502,15.748,14.861,14.965,14.527,19.397
43,E00023500,20.169,14.4,15.805,14.634,15.352,19.641,20.169,14.4,15.805,14.634,15.352,19.641
44,E00175275,18.983,14.811,15.446,17.988,14.396,18.375,18.983,14.811,15.446,17.988,14.396,18.375
45,E00023503,19.561,15.255,15.731,14.703,16.927,17.823,19.561,15.255,15.731,14.703,16.927,17.823
46,E00175243,16.724,23.657,15.078,12.652,16.349,15.54,16.724,23.657,15.078,12.652,16.349,15.54
47,E00175246,15.886,15.405,15.536,16.236,18.031,18.906,15.886,15.405,15.536,16.236,18.031,18.906
48,E00024095,17.444,17.371,15.233,15.065,15.137,19.75,17.444,17.371,15.233,15.065,15.137,19.75
49,E00023756,18.326,15.027,14.213,16.86,13.785,21.788,18.326,15.027,14.213,16.86,13.785,21.788
50,E00024014,18.876,13.825,15.596,15.315,16.118,20.269,18.876,13.825,15.596,15.315,16.118,20.269
51,E00023620,16.658,14.939,17.207,15.577,17.881,17.739,16.658,14.939,17.207,15.577,17.881,17.739
52,E00023520,17.467,15.285,17.516,15.815,16.351,17.566,17.467,15.285,17.516,15.815,16.351,17.566
53,E00024125,18.765,16.356,15.746,16.414,15.206,17.513,18.765,16.356,15.746,16.414,15.206,17.513
54,E00024063,17.2,14.375,19.819,12.302,17.521,18.783,17.2,14.375,19.819,12.302,17.521,18.783
55,E00024105,19.023,14.08,16.724,14.425,17.845,17.902,19.023,14.08,16.724,14.425,17.845,17.902
56,E00023932,15.444,14.888,16.603,20.724,18.195,14.146,15.444,14.888,16.603,20.724,18.195,14.146
57,E00024075,21.423,12.854,16.049,15.105,19.535,15.033,21.423,12.854,16.049,15.105,19.535,15.033
58,E00175198,16.813,13.985,16.84,16.404,18.762,17.196,16.813,13.985,16.84,16.404,18.762,17.196
59,E00023728,15.992,16.459,17.3,15.213,17.035,18.001,15.992,16.459,17.3,15.213,17.035,18.001
60,E00024114,18.163,13.518,15.445,22.749,14.573,15.552,18.163,13.518,15.445,22.749,14.573,15.552
61,E00023873,17.506,16.583,13.014,17.422,12.175,23.3,17.506,16.583,13.014,17.422,12.175,23.3
62,E00024059,17.509,14.613,16.444,15.419,16.321,19.694,17.509,14.613,16.444,15.419,16.321,19.694
