,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
0,E00023722,112.172,29.696,38.08,9.428,50.342,13.85,253.568,3.041,0.805,1.032,0.256,1.365,0.375,6.875,0.09,0.131,0.127,0.036,0.166,0.089,0.09,0.131,0.127,0.036,0.166,0.089
1,E00023889,480.123,100.254,79.745,143.011,108.676,64.251,976.061,4.699,0.981,0.78,1.4,1.064,0.629,9.553,0.14,0.159,0.096,0.195,0.129,0.149,0.14,0.159,0.096,0.195,0.129,0.149
2,E00023808,183.351,35.185,22.83,41.086,28.605,29.523,340.58,1.838,0.353,0.229,0.412,0.287,0.296,3.415,0.055,0.058,0.028,0.057,0.035,0.07,0.055,0.058,0.028,0.057,0.035,0.07
3,E00024069,187.062,17.033,58.509,38.101,70.869,21.233,392.807,3.602,0.328,1.127,0.734,1.365,0.409,7.563,0.107,0.053,0.138,0.102,0.166,0.096,0.107,0.053,0.138,0.102,0.166,0.096
4,E00024056,370.355,77.498,132.563,41.648,123.339,70.958,816.361,3.285,0.687,1.176,0.369,1.094,0.629,7.241,0.098,0.112,0.144,0.051,0.133,0.149,0.098,0.112,0.144,0.051,0.133,0.149
5,E00023555,122.335,45.137,22.017,17.137,31.4,17.354,255.381,1.113,0.411,0.2,0.156,0.286,0.158,2.324,0.033,0.067,0.025,0.022,0.035,0.037,0.033,0.067,0.025,0.022,0.035,0.037
6,E00023887,771.548,119.206,162.162,186.379,183.962,98.063,1521.321,5.401,0.835,1.135,1.305,1.288,0.687,10.65,0.161,0.136,0.14,0.182,0.156,0.162,0.161,0.136,0.14,0.182,0.156,0.162
7,E00024042,443.813,74.473,95.172,84.695,100.809,75.025,873.987,4.101,0.688,0.879,0.783,0.931,0.693,8.075,0.122,0.112,0.108,0.109,0.113,0.164,0.122,0.112,0.108,0.109,0.113,0.164
8,E00023706,270.64,34.242,46.487,30.166,58.065,35.708,475.308,1.999,0.253,0.343,0.223,0.429,0.264,3.512,0.059,0.041,0.042,0.031,0.052,0.062,0.059,0.041,0.042,0.031,0.052,0.062
9,E00023787,215.86,81.115,49.592,57.689,72.422,40.002,516.679,1.74,0.654,0.4,0.465,0.584,0.323,4.166,0.052,0.106,0.049,0.065,0.071,0.076,0.052,0.106,0.049,0.065,0.071,0.076
10,E00024051,863.432,133.093,246.753,161.809,223.202,105.986,1734.275,6.733,1.038,1.924,1.262,1.741,0.826,13.524,0.2,0.169,0.236,0.176,0.211,0.195,0.2,0.169,0.236,0.176,0.211,0.195
11,E00023714,747.258,129.467,189.018,219.651,261.643,102.999,1650.036,4.038,0.7,1.021,1.187,1.414,0.557,8.917,0.12,0.114,0.125,0.166,0.172,0.132,0.12,0.114,0.125,0.166,0.172,0.132
12,E00023466,419.451,48.441,107.535,140.548,111.67,65.981,893.627,3.472,0.401,0.89,1.163,0.924,0.546,7.397,0.103,0.065,0.109,0.162,0.112,0.129,0.103,0.065,0.109,0.162,0.112,0.129
13,E00175213,1461.795,147.324,322.615,143.826,345.221,140.972,2561.752,8.989,0.906,1.984,0.884,2.123,0.867,15.753,0.267,0.147,0.244,0.123,0.258,0.205,0.267,0.147,0.244,0.123,0.258,0.205
14,E00023564,220.316,41.093,34.333,54.135,41.556,40.362,431.795,2.203,0.411,0.343,0.541,0.416,0.404,4.319,0.065,0.067,0.042,0.076,0.05,0.095,0.065,0.067,0.042,0.076,0.05,0.095
15,E00023830,1233.018,128.398,167.414,174.176,201.405,110.936,2015.347,11.207,1.167,1.522,1.583,1.831,1.008,18.318,0.333,0.19,0.187,0.221,0.222,0.238,0.333,0.19,0.187,0.221,0.222,0.238
16,E00023586,370.746,64.601,94.806,118.895,114.903,59.202,823.154,2.758,0.481,0.705,0.884,0.855,0.44,6.123,0.082,0.078,0.087,0.123,0.104,0.104,0.082,0.078,0.087,0.123,0.104,0.104
17,E00023507,717.671,186.792,191.564,155.737,202.927,116.249,1570.941,7.619,1.983,2.034,1.653,2.154,1.234,16.677,0.226,0.323,0.25,0.231,0.262,0.292,0.226,0.323,0.25,0.231,0.262,0.292
18,E00024104,164.514,39.289,65.693,34.101,59.324,23.254,386.174,1.31,0.313,0.523,0.271,0.472,0.185,3.074,0.039,0.051,0.064,0.038,0.057,0.044,0.039,0.051,0.064,0.038,0.057,0.044
19,E00024094,165.978,123.443,32.798,23.354,37.605,32.647,415.825,1.822,1.355,0.36,0.256,0.413,0.358,4.564,0.054,0.22,0.044,0.036,0.05,0.085,0.054,0.22,0.044,0.036,0.05,0.085
20,E00023936,4636.298,488.087,2030.324,710.238,1254.042,343.943,9462.932,8.025,0.845,3.514,1.229,2.171,0.595,16.379,0.239,0.138,0.432,0.172,0.264,0.141,0.239,0.138,0.432,0.172,0.264,0.141
