,OA,Value_band,Banding Description,[mean] - Value,[median] - Value,[total] - Value
0,E00023412,27.0,£3m - £4m,2463181.818,1778727.273,27523363.636
1,E00023413,26.0,£2m - £3m,2316454.545,1662090.909,40881545.455
2,E00023414,16.0,£401K - £450K,424500.0,404500.0,27771500.0
3,E00023415,27.0,£3m - £4m,2361333.333,1748250.0,27556666.667
4,E00023416,21.0,£800K - £900K,1060750.0,876875.0,40544500.0
5,E00023418,20.0,£701k - £800K,1235166.667,1100333.333,37454166.667
6,E00023419,25.0,£1.5m - £2m,1691400.0,1343400.0,43625300.0
7,E00023421,16.0,£401K - £450K,552600.0,509200.0,21347000.0
8,E00023422,26.0,£2m - £3m,2123230.769,1456538.462,43335769.231
9,E00023423,16.0,£1.25m - £1.5m,953285.714,833428.571,24193714.286
10,E00023424,26.0,£2m - £3m,2610100.0,1616900.0,25103600.0
11,E00023425,27.0,£3m - £4m,4441875.0,3312625.0,55992875.0
12,E00023426,26.0,£2m - £3m,2308500.0,1732500.0,79735500.0
13,E00023427,23.0,£1.5m - £2m,4359000.0,3125333.333,64286333.333
14,E00023428,26.0,£2m - £3m,2190800.0,1809600.0,44468400.0
15,E00023429,16.0,£401K - £450K,696000.0,629636.364,9465909.091
16,E00023430,19.0,£601K - £700K,692000.0,646000.0,9688000.0
17,E00023431,25.0,£1.5m - £2m,2192900.0,1666600.0,59254200.0
18,E00023432,28.0,£4m - £5m,3131000.0,2377333.333,47916500.0
19,E00023433,19.0,£1.25m - £1.5m,1503142.857,1108714.286,31580857.143
20,E00023434,17.0,£451K - £500K,467000.0,458200.0,14036200.0
21,E00023435,28.0,£4m - £5m,3968000.0,3318400.0,116328200.0
22,E00023436,29.0,£5m+,11447500.0,7091285.714,114479500.0
23,E00023437,26.0,£2m - £3m,3302111.111,2196555.556,25854888.889
24,E00023438,26.0,£2m - £3m,2125666.667,1720833.333,35604333.333
25,E00023439,19.0,£601K - £700K,815909.091,683909.091,19275818.182
26,E00023440,26.0,£2m - £3m,2248100.0,1904200.0,29281800.0
27,E00023441,26.0,£2m - £3m,3756100.0,2575900.0,63126700.0
28,E00023442,27.0,£3m - £4m,2851444.444,2125777.778,31434333.333
29,E00023443,19.0,£601K - £700K,893000.0,756750.0,19879000.0
30,E00023444,21.0,£1.5m - £2m,1452000.0,1117000.0,36396111.111
31,E00023445,25.0,£1.5m - £2m,2986545.455,2458181.818,36313181.818
32,E00023446,16.0,£401K - £450K,444333.333,425666.667,12009166.667
33,E00023447,27.0,£3m - £4m,2888000.0,1875000.0,50227181.818
34,E00023448,23.0,£1.5m - £2m,1865200.0,1561800.0,42297900.0
35,E00023449,25.0,£1.5m - £2m,1627875.0,1418875.0,33996875.0
36,E00023450,25.0,£1.5m - £2m,1639000.0,988000.0,48482000.0
37,E00023451,22.0,£900K - £1m,903000.0,825000.0,39946333.333
38,E00023452,20.0,£701k - £800K,906222.222,812444.444,18529333.333
39,E00023453,17.0,£451K - £500K,549000.0,513000.0,14888400.0
40,E00023454,23.0,£1m - £1.25m,1119666.667,1014000.0,30072333.333
41,E00023455,23.0,£1m - £1.25m,1803600.0,1175200.0,45283200.0
42,E00023456,23.0,£1m - £1.25m,973666.667,860666.667,49041666.667
43,E00023458,23.0,£1m - £1.25m,1193333.333,1045333.333,49929666.667
44,E00023459,24.0,£1.25m - £1.5m,2301500.0,1310166.667,54244666.667
45,E00023460,18.0,£501K - £600K,682000.0,626333.333,30075000.0
46,E00023461,21.0,£1.25m - £1.5m,1044666.667,865333.333,84429000.0
47,E00023462,18.0,£501K - £600K,585500.0,552500.0,43475000.0
48,E00023463,19.0,£601K - £700K,776000.0,722500.0,51278000.0
49,E00023464,23.0,£1m - £1.25m,1224500.0,1031000.0,92788000.0
50,E00023465,21.0,£1.5m - £2m,1610000.0,1294750.0,41337750.0
51,E00023466,27.0,£3m - £4m,3150000.0,1846250.0,137798250.0
52,E00023467,26.0,£2m - £3m,2136333.333,1433000.0,134188666.667
53,E00023468,25.0,£1.5m - £2m,1511666.667,1293666.667,76194000.0
54,E00023469,20.0,£701k - £800K,740800.0,675800.0,27587600.0
55,E00023470,27.0,£3m - £4m,2845500.0,2266833.333,63808500.0
56,E00023471,24.0,£1.25m - £1.5m,1446000.0,1002500.0,51609000.0
57,E00023472,22.0,£1.25m - £1.5m,1456250.0,996000.0,44829750.0
