,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,[per_effective_area_square_meter] - worker_units,[per_effective_area_square_meter] - student_units,[per_effective_area_square_meter] - tourist_units,[per_effective_area_square_meter] - shopper_units,[per_effective_area_square_meter] - leisurer_units,[per_effective_area_square_meter] - chorer_units,[%_of_borough_total] - [per_effective_area_square_meter] - worker_units,[%_of_borough_total] - [per_effective_area_square_meter] - student_units,[%_of_borough_total] - [per_effective_area_square_meter] - tourist_units,[%_of_borough_total] - [per_effective_area_square_meter] - shopper_units,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_borough_total] - [per_effective_area_square_meter] - chorer_units,[per_effective_area_square_meter] - total_units,[%_of_OA_total] - [per_effective_area_square_meter] - worker_units,[%_of_OA_total] - [per_effective_area_square_meter] - student_units,[%_of_OA_total] - [per_effective_area_square_meter] - tourist_units,[%_of_OA_total] - [per_effective_area_square_meter] - shopper_units,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_OA_total] - [per_effective_area_square_meter] - chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value,[per_effective_area_square_meter] - worker_value,[per_effective_area_square_meter] - student_value,[per_effective_area_square_meter] - tourist_value,[per_effective_area_square_meter] - shopper_value,[per_effective_area_square_meter] - leisurer_value,[per_effective_area_square_meter] - chorer_value,[per_effective_area_square_meter] - total_value
0,E00023722,34.263,32.199,33.971,22.812,35.417,34.937,0.929,0.873,0.921,0.618,0.96,0.947,0.092,0.1,0.106,0.068,0.109,0.09,5.248,17.702,16.635,17.55,11.776,18.293,18.045,41.458,38.96,41.104,27.602,42.854,42.273,234.251,1.124,1.056,1.114,0.748,1.162,1.146,6.351
1,E00023889,142.18,131.47,123.577,165.858,123.739,172.977,1.392,1.287,1.209,1.623,1.211,1.693,0.138,0.148,0.139,0.178,0.137,0.161,8.415,16.542,15.294,14.367,19.287,14.391,20.119,172.035,159.076,149.526,200.685,149.722,209.299,1040.344,1.684,1.557,1.463,1.964,1.465,2.048,10.182
2,E00023808,54.511,50.3,39.954,47.681,40.223,72.066,0.547,0.504,0.401,0.478,0.403,0.723,0.054,0.058,0.046,0.052,0.046,0.069,3.056,17.899,16.492,13.122,15.641,13.187,23.658,65.957,60.862,48.344,57.693,48.669,87.199,368.724,0.661,0.61,0.485,0.578,0.488,0.874,3.697
3,E00024069,50.894,39.318,48.562,47.939,52.02,56.259,0.98,0.757,0.935,0.923,1.002,1.083,0.097,0.087,0.108,0.101,0.113,0.103,5.68,17.254,13.327,16.461,16.25,17.641,19.067,61.581,47.574,58.759,58.005,62.943,68.072,356.935,1.186,0.916,1.131,1.117,1.212,1.311,6.873
4,E00024056,94.767,78.174,104.457,65.238,92.5,89.125,0.841,0.693,0.927,0.579,0.82,0.791,0.084,0.08,0.107,0.063,0.093,0.075,4.651,18.082,14.9,19.931,12.449,17.631,17.007,114.666,94.589,126.391,78.937,111.923,107.84,634.347,1.017,0.839,1.121,0.7,0.993,0.957,5.627
5,E00023555,40.112,41.872,31.076,28.9,28.829,43.495,0.365,0.381,0.283,0.263,0.262,0.396,0.036,0.044,0.033,0.029,0.03,0.038,1.95,18.718,19.538,14.513,13.487,13.436,20.308,48.535,50.664,37.601,34.968,34.883,52.628,259.28,0.442,0.461,0.342,0.318,0.317,0.479,2.359
6,E00023887,243.561,194.37,190.973,220.257,222.164,279.256,1.705,1.361,1.337,1.542,1.555,1.955,0.169,0.156,0.154,0.169,0.176,0.186,9.455,18.033,14.395,14.141,16.309,16.446,20.677,294.705,235.184,231.074,266.507,268.815,337.895,1634.18,2.063,1.646,1.618,1.866,1.882,2.366,11.44
7,E00024042,111.361,95.061,100.14,98.624,90.113,134.55,1.029,0.878,0.925,0.911,0.833,1.243,0.102,0.101,0.107,0.1,0.094,0.119,5.819,17.683,15.089,15.896,15.656,14.315,21.361,134.745,115.022,121.168,119.333,109.035,162.803,762.106,1.245,1.063,1.12,1.103,1.007,1.504,7.041
8,E00023706,79.418,56.95,70.183,56.627,61.074,77.854,0.587,0.421,0.519,0.418,0.451,0.575,0.058,0.048,0.06,0.046,0.051,0.055,2.971,19.758,14.17,17.469,14.069,15.18,19.354,96.094,68.909,84.92,68.518,73.898,94.202,486.541,0.71,0.509,0.627,0.506,0.546,0.696,3.595
9,E00023787,72.721,73.384,60.122,63.105,63.3,80.299,0.586,0.592,0.485,0.509,0.51,0.647,0.058,0.068,0.056,0.056,0.058,0.062,3.329,17.603,17.783,14.569,15.29,15.32,19.435,87.991,88.793,72.747,76.356,76.592,97.16,499.639,0.709,0.716,0.587,0.616,0.618,0.783,4.028
