,OA,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - resident_count,[per_effective_area_square_meter] - visitors_total_count,[per_effective_area_square_meter] - total_count,[shared_scale] - [per_effective_area_square_meter] - worker_count,[shared_scale] - [per_effective_area_square_meter] - student_count,[shared_scale] - [per_effective_area_square_meter] - tourist_count,[shared_scale] - [per_effective_area_square_meter] - shopper_count,[shared_scale] - [per_effective_area_square_meter] - leisurer_count,[shared_scale] - [per_effective_area_square_meter] - chorer_count,[shared_scale] - [per_effective_area_square_meter] - resident_count
0,E00023722,3.041,0.805,1.032,0.256,1.365,0.375,1.573,6.874,8.447,3.041,0.805,1.032,0.256,1.365,0.375,1.573
1,E00023889,4.699,0.981,0.78,1.4,1.064,0.629,3.269,9.553,12.822,4.699,0.981,0.78,1.4,1.064,0.629,3.269
2,E00023808,1.838,0.353,0.229,0.412,0.287,0.296,2.757,3.415,6.172,1.838,0.353,0.229,0.412,0.287,0.296,2.757
3,E00024069,3.602,0.328,1.127,0.734,1.365,0.409,2.888,7.565,10.453,3.602,0.328,1.127,0.734,1.365,0.409,2.888
4,E00024056,3.285,0.687,1.176,0.369,1.094,0.629,2.705,7.24,9.945,3.285,0.687,1.176,0.369,1.094,0.629,2.705
5,E00023555,1.113,0.411,0.2,0.156,0.286,0.158,2.839,2.324,5.163,1.113,0.411,0.2,0.156,0.286,0.158,2.839
6,E00023887,5.401,0.835,1.135,1.305,1.288,0.687,1.918,10.651,12.569,5.401,0.835,1.135,1.305,1.288,0.687,1.918
7,E00024042,4.101,0.688,0.879,0.783,0.931,0.693,1.894,8.075,9.969,4.101,0.688,0.879,0.783,0.931,0.693,1.894
8,E00023706,1.999,0.253,0.343,0.223,0.429,0.264,1.877,3.511,5.388,1.999,0.253,0.343,0.223,0.429,0.264,1.877
9,E00023787,1.74,0.654,0.4,0.465,0.584,0.323,2.072,4.166,6.238,1.74,0.654,0.4,0.465,0.584,0.323,2.072
10,E00024051,6.733,1.038,1.924,1.262,1.741,0.826,1.287,13.524,14.811,6.733,1.038,1.924,1.262,1.741,0.826,1.287
11,E00023714,4.038,0.7,1.021,1.187,1.414,0.557,1.864,8.917,10.781,4.038,0.7,1.021,1.187,1.414,0.557,1.864
12,E00023466,3.472,0.401,0.89,1.163,0.924,0.546,3.278,7.396,10.674,3.472,0.401,0.89,1.163,0.924,0.546,3.278
13,E00175213,8.989,0.906,1.984,0.884,2.123,0.867,1.052,15.753,16.805,8.989,0.906,1.984,0.884,2.123,0.867,1.052
14,E00023564,2.203,0.411,0.343,0.541,0.416,0.404,4.971,4.318,9.289,2.203,0.411,0.343,0.541,0.416,0.404,4.971
15,E00023830,11.207,1.167,1.522,1.583,1.831,1.008,3.081,18.318,21.399,11.207,1.167,1.522,1.583,1.831,1.008,3.081
16,E00023586,2.758,0.481,0.705,0.884,0.855,0.44,4.151,6.123,10.274,2.758,0.481,0.705,0.884,0.855,0.44,4.151
17,E00023507,7.619,1.983,2.034,1.653,2.154,1.234,3.015,16.677,19.692,7.619,1.983,2.034,1.653,2.154,1.234,3.015
18,E00024104,1.31,0.313,0.523,0.271,0.472,0.185,3.073,3.074,6.147,1.31,0.313,0.523,0.271,0.472,0.185,3.073
19,E00024094,1.822,1.355,0.36,0.256,0.413,0.358,4.347,4.564,8.911,1.822,1.355,0.36,0.256,0.413,0.358,4.347
20,E00023936,8.025,0.845,3.514,1.229,2.171,0.595,0.703,16.379,17.082,8.025,0.845,3.514,1.229,2.171,0.595,0.703
21,E00175182,3.458,0.296,0.804,0.59,0.872,0.354,0.859,6.374,7.233,3.458,0.296,0.804,0.59,0.872,0.354,0.859
22,E00023840,10.836,1.342,2.171,2.624,2.128,0.973,1.175,20.074,21.249,10.836,1.342,2.171,2.624,2.128,0.973,1.175
23,E00175255,1.927,0.465,0.312,0.22,0.345,0.251,2.367,3.52,5.887,1.927,0.465,0.312,0.22,0.345,0.251,2.367
24,E00175277,1.152,0.311,0.354,0.322,0.382,0.109,3.607,2.63,6.237,1.152,0.311,0.354,0.322,0.382,0.109,3.607
25,E00023767,2.216,0.229,0.331,0.421,0.474,0.304,3.052,3.975,7.027,2.216,0.229,0.331,0.421,0.474,0.304,3.052
26,E00023908,1.249,0.153,0.116,0.204,0.129,0.272,3.717,2.123,5.84,1.249,0.153,0.116,0.204,0.129,0.272,3.717
27,E00023475,3.448,0.652,1.033,1.959,1.01,0.531,2.415,8.633,11.048,3.448,0.652,1.033,1.959,1.01,0.531,2.415
28,E00023634,1.676,0.243,0.676,0.507,0.626,0.268,1.509,3.996,5.505,1.676,0.243,0.676,0.507,0.626,0.268,1.509
29,E00023727,4.686,0.859,1.466,1.047,1.827,0.676,1.821,10.561,12.382,4.686,0.859,1.466,1.047,1.827,0.676,1.821
30,E00024066,4.16,0.475,1.497,0.99,1.72,0.601,3.909,9.443,13.352,4.16,0.475,1.497,0.99,1.72,0.601,3.909
31,E00023991,3.255,0.522,1.354,0.829,1.559,0.38,2.78,7.899,10.679,3.255,0.522,1.354,0.829,1.559,0.38,2.78
32,E00023910,0.967,0.285,0.226,0.099,0.189,0.217,3.458,1.983,5.441,0.967,0.285,0.226,0.099,0.189,0.217,3.458
33,E00175215,6.028,1.039,1.907,0.921,2.432,0.77,1.017,13.097,14.114,6.028,1.039,1.907,0.921,2.432,0.77,1.017
34,E00023800,2.311,0.384,0.403,0.559,0.462,0.35,1.916,4.469,6.385,2.311,0.384,0.403,0.559,0.462,0.35,1.916
35,E00023920,6.356,1.255,1.859,1.094,1.379,0.688,4.043,12.631,16.674,6.356,1.255,1.859,1.094,1.379,0.688,4.043
36,E00023831,9.908,1.638,2.145,2.617,2.296,0.907,1.756,19.511,21.267,9.908,1.638,2.145,2.617,2.296,0.907,1.756
37,E00023485,4.329,0.432,0.537,0.479,0.523,0.474,3.422,6.774,10.196,4.329,0.432,0.537,0.479,0.523,0.474,3.422
38,E00024021,1.71,0.356,0.265,0.085,0.167,0.223,4.567,2.806,7.373,1.71,0.356,0.265,0.085,0.167,0.223,4.567
39,E00023738,2.226,0.957,0.833,0.171,0.866,0.401,2.834,5.454,8.288,2.226,0.957,0.833,0.171,0.866,0.401,2.834
40,E00023912,1.333,0.614,0.422,0.15,0.276,0.296,2.455,3.091,5.546,1.333,0.614,0.422,0.15,0.276,0.296,2.455
41,E00023423,1.307,0.525,0.221,0.342,0.231,0.289,3.598,2.915,6.513,1.307,0.525,0.221,0.342,0.231,0.289,3.598
42,E00023488,6.539,1.004,1.095,0.88,1.304,0.697,2.861,11.519,14.38,6.539,1.004,1.095,0.88,1.304,0.697,2.861
43,E00023500,9.852,1.64,1.841,1.161,2.205,1.589,2.069,18.288,20.357,9.852,1.64,1.841,1.161,2.205,1.589,2.069
44,E00175275,1.964,0.233,0.509,0.509,0.422,0.215,2.36,3.852,6.212,1.964,0.233,0.509,0.509,0.422,0.215,2.36
45,E00023503,7.059,0.963,1.592,0.999,1.979,0.739,1.663,13.331,14.994,7.059,0.963,1.592,0.999,1.979,0.739,1.663
46,E00175243,1.486,1.047,0.524,0.251,0.464,0.267,2.012,4.039,6.051,1.486,1.047,0.524,0.251,0.464,0.267,2.012
47,E00175246,1.295,0.289,0.368,0.331,0.365,0.27,2.11,2.918,5.028,1.295,0.289,0.368,0.331,0.365,0.27,2.11
48,E00024095,2.395,0.744,0.571,0.517,0.624,0.534,3.776,5.385,9.161,2.395,0.744,0.571,0.517,0.624,0.534,3.776
49,E00023756,2.877,0.513,0.543,0.868,0.659,0.571,2.61,6.031,8.641,2.877,0.513,0.543,0.868,0.659,0.571,2.61
50,E00024014,6.487,0.597,1.467,1.023,1.685,0.74,2.91,11.999,14.909,6.487,0.597,1.467,1.023,1.685,0.74,2.91
51,E00023620,5.809,0.867,2.123,1.29,2.465,0.629,4.166,13.183,17.349,5.809,0.867,2.123,1.29,2.465,0.629,4.166
52,E00023520,8.671,1.408,2.477,1.532,2.118,0.973,3.294,17.179,20.473,8.671,1.408,2.477,1.532,2.118,0.973,3.294
53,E00024125,10.234,1.674,2.557,1.837,1.873,1.025,2.632,19.2,21.832,10.234,1.674,2.557,1.837,1.873,1.025,2.632
54,E00024063,3.75,0.724,1.368,0.409,1.239,0.803,2.744,8.293,11.037,3.75,0.724,1.368,0.409,1.239,0.803,2.744
55,E00024105,1.998,0.152,0.569,0.295,0.586,0.207,1.459,3.807,5.266,1.998,0.152,0.569,0.295,0.586,0.207,1.459
56,E00023932,8.9,1.495,3.099,3.292,2.815,0.727,1.179,20.328,21.507,8.9,1.495,3.099,3.292,2.815,0.727,1.179
57,E00024075,0.625,0.066,0.201,0.153,0.221,0.07,3.071,1.336,4.407,0.625,0.066,0.201,0.153,0.221,0.07,3.071
58,E00175198,5.972,0.818,2.141,1.378,2.68,0.767,3.466,13.756,17.222,5.972,0.818,2.141,1.378,2.68,0.767,3.466
59,E00023728,3.433,0.933,1.208,0.7,1.376,0.514,2.907,8.164,11.071,3.433,0.933,1.208,0.7,1.376,0.514,2.907
