,OA,[count_in_OA] - 0-5K,[count_in_OA] - 5-10K,[count_in_OA] - 10-15K,[count_in_OA] - 15-20K,[count_in_OA] - 20-25K,[count_in_OA] - 25-30K,[count_in_OA] - 30-35K,[count_in_OA] - 35-40K,[count_in_OA] - 40-45K,[count_in_OA] - 45-50K,[count_in_OA] - 50-55K,[count_in_OA] - 55-60K,[count_in_OA] - 60-65K,[count_in_OA] - 65-70K,[count_in_OA] - 70-75K,[count_in_OA] - 75-80K,[count_in_OA] - 80-85K,[count_in_OA] - 85-90K,[count_in_OA] - 90-95K,[count_in_OA] - 95-100K,[count_in_OA] - 100-120K,[count_in_OA] - 120-140K,[count_in_OA] - 140-160K,[count_in_OA] - 160-180K,[count_in_OA] - 180-200K,[count_in_OA] - 200K+,Mean Income,Median Income,Mode Income,Lower Quartile,[%_in_OA] - 0-5K,[%_in_OA] - 5-10K,[%_in_OA] - 10-15K,[%_in_OA] - 15-20K,[%_in_OA] - 20-25K,[%_in_OA] - 25-30K,[%_in_OA] - 30-35K,[%_in_OA] - 35-40K,[%_in_OA] - 40-45K,[%_in_OA] - 45-50K,[%_in_OA] - 50-55K,[%_in_OA] - 55-60K,[%_in_OA] - 60-65K,[%_in_OA] - 65-70K,[%_in_OA] - 70-75K,[%_in_OA] - 75-80K,[%_in_OA] - 80-85K,[%_in_OA] - 85-90K,[%_in_OA] - 90-95K,[%_in_OA] - 95-100K,[%_in_OA] - 100-120K,[%_in_OA] - 120-140K,[%_in_OA] - 140-160K,[%_in_OA] - 160-180K,[%_in_OA] - 180-200K,[%_in_OA] - 200K+,[shared_scale] - [%_in_OA] - 0-5K,[shared_scale] - [%_in_OA] - 5-10K,[shared_scale] - [%_in_OA] - 10-15K,[shared_scale] - [%_in_OA] - 15-20K,[shared_scale] - [%_in_OA] - 20-25K,[shared_scale] - [%_in_OA] - 25-30K,[shared_scale] - [%_in_OA] - 30-35K,[shared_scale] - [%_in_OA] - 35-40K,[shared_scale] - [%_in_OA] - 40-45K,[shared_scale] - [%_in_OA] - 45-50K,[shared_scale] - [%_in_OA] - 50-55K,[shared_scale] - [%_in_OA] - 55-60K,[shared_scale] - [%_in_OA] - 60-65K,[shared_scale] - [%_in_OA] - 65-70K,[shared_scale] - [%_in_OA] - 70-75K,[shared_scale] - [%_in_OA] - 75-80K,[shared_scale] - [%_in_OA] - 80-85K,[shared_scale] - [%_in_OA] - 85-90K,[shared_scale] - [%_in_OA] - 90-95K,[shared_scale] - [%_in_OA] - 95-100K,[shared_scale] - [%_in_OA] - 100-120K,[shared_scale] - [%_in_OA] - 120-140K,[shared_scale] - [%_in_OA] - 140-160K,[shared_scale] - [%_in_OA] - 160-180K,[shared_scale] - [%_in_OA] - 180-200K,[shared_scale] - [%_in_OA] - 200K+
0,E00023722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,E00023889,0,4,7,11,11,11,10,8,8,8,7,6,5,4,4,2,3,3,0,0,3,0,0,0,0,0,40590.0,38015.0,21250.0,23398.0,0.0,3.077,5.385,8.462,8.462,8.462,7.692,6.154,6.154,6.154,5.385,4.615,3.846,3.077,3.077,1.538,2.308,2.308,0.0,0.0,2.308,0.0,0.0,0.0,0.0,0.0,0.0,3.077,5.385,8.462,8.462,8.462,7.692,6.154,6.154,6.154,5.385,4.615,3.846,3.077,3.077,1.538,2.308,2.308,0.0,0.0,2.308,0.0,0.0,0.0,0.0,0.0
2,E00023808,0,1,4,5,6,7,8,8,8,8,8,8,8,5,5,4,5,5,4,4,8,4,3,1,0,0,62725.0,58194.5,90625.0,37620.5,0.0,0.758,3.03,3.788,4.545,5.303,6.061,6.061,6.061,6.061,6.061,6.061,6.061,3.788,3.788,3.03,3.788,3.788,3.03,3.03,6.061,3.03,2.273,0.758,0.0,0.0,0.0,0.758,3.03,3.788,4.545,5.303,6.061,6.061,6.061,6.061,6.061,6.061,6.061,3.788,3.788,3.03,3.788,3.788,3.03,3.03,6.061,3.03,2.273,0.758,0.0,0.0
3,E00024069,1,5,8,10,10,9,8,7,6,5,4,4,2,2,1,1,1,1,1,1,1,0,0,0,0,0,36000.0,30305.0,17500.0,18660.5,1.124,5.618,8.989,11.236,11.236,10.112,8.989,7.865,6.742,5.618,4.494,4.494,2.247,2.247,1.124,1.124,1.124,1.124,1.124,1.124,1.124,0.0,0.0,0.0,0.0,0.0,1.124,5.618,8.989,11.236,11.236,10.112,8.989,7.865,6.742,5.618,4.494,4.494,2.247,2.247,1.124,1.124,1.124,1.124,1.124,1.124,1.124,0.0,0.0,0.0,0.0,0.0
4,E00024056,0,0,3,7,8,9,9,9,9,10,9,8,7,7,6,4,6,5,4,4,11,4,4,0,0,0,38813.333,45691.0,40166.667,28273.0,0.0,0.0,2.027,4.73,5.405,6.081,6.081,6.081,6.081,6.757,6.081,5.405,4.73,4.73,4.054,2.703,4.054,3.378,2.703,2.703,7.432,2.703,2.703,0.0,0.0,0.0,0.0,0.0,2.027,4.73,5.405,6.081,6.081,6.081,6.081,6.757,6.081,5.405,4.73,4.73,4.054,2.703,4.054,3.378,2.703,2.703,7.432,2.703,2.703,0.0,0.0,0.0
5,E00023555,0,10,15,19,17,14,13,10,8,7,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,31900.0,27734.0,17500.0,17359.0,0.0,7.407,11.111,14.074,12.593,10.37,9.63,7.407,5.926,5.185,4.444,2.963,2.222,1.481,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.407,11.111,14.074,12.593,10.37,9.63,7.407,5.926,5.185,4.444,2.963,2.222,1.481,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,E00023887,0,2,6,8,9,10,10,8,8,8,6,5,5,5,5,2,5,3,2,1,3,2,1,0,0,0,27042.857,16932.5,25178.571,10605.5,0.0,1.587,4.762,6.349,7.143,7.937,7.937,6.349,6.349,6.349,4.762,3.968,3.968,3.968,3.968,1.587,3.968,2.381,1.587,0.794,2.381,1.587,0.794,0.0,0.0,0.0,0.0,1.587,4.762,6.349,7.143,7.937,7.937,6.349,6.349,6.349,4.762,3.968,3.968,3.968,3.968,1.587,3.968,2.381,1.587,0.794,2.381,1.587,0.794,0.0,0.0,0.0
7,E00024042,0,3,5,8,7,8,8,7,6,7,5,5,5,3,2,1,2,2,1,1,3,1,1,0,0,0,51487.5,44855.0,54375.0,29007.0,0.0,2.83,4.717,7.547,6.604,7.547,7.547,6.604,5.66,6.604,4.717,4.717,4.717,2.83,1.887,0.943,1.887,1.887,0.943,0.943,2.83,0.943,0.943,0.0,0.0,0.0,0.0,2.83,4.717,7.547,6.604,7.547,7.547,6.604,5.66,6.604,4.717,4.717,4.717,2.83,1.887,0.943,1.887,1.887,0.943,0.943,2.83,0.943,0.943,0.0,0.0,0.0
8,E00023706,2,10,13,16,13,12,10,8,7,6,4,4,3,2,2,0,1,0,0,0,0,0,0,0,0,0,33650.0,25698.5,18750.0,15673.0,1.709,8.547,11.111,13.675,11.111,10.256,8.547,6.838,5.983,5.128,3.419,3.419,2.564,1.709,1.709,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.709,8.547,11.111,13.675,11.111,10.256,8.547,6.838,5.983,5.128,3.419,3.419,2.564,1.709,1.709,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,E00023787,0,4,9,11,10,10,10,8,8,8,6,5,5,4,3,1,3,1,1,1,3,0,0,0,0,0,32500.0,35185.5,18125.0,21297.5,0.0,3.279,7.377,9.016,8.197,8.197,8.197,6.557,6.557,6.557,4.918,4.098,4.098,3.279,2.459,0.82,2.459,0.82,0.82,0.82,2.459,0.0,0.0,0.0,0.0,0.0,0.0,3.279,7.377,9.016,8.197,8.197,8.197,6.557,6.557,6.557,4.918,4.098,4.098,3.279,2.459,0.82,2.459,0.82,0.82,0.82,2.459,0.0,0.0,0.0,0.0,0.0
