,OA,Wellbeing_Acorn_group,Wellbeing_Acorn_type,Wellbeing Acorn Group_frequency_count,Wellbeing Acorn Type_frequency_count
0,E00023412,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '4. Healthy': 4, '5. Not Private Households': 2}","{'18. Cultural concerns': 5, '22. Gym & juices': 4, '28. Business addresses etc.': 2}"
1,E00023413,3. Caution,18. Cultural concerns,"{'3. Caution': 7, '4. Healthy': 4, '5. Not Private Households': 1}","{'18. Cultural concerns': 7, '22. Gym & juices': 4, '27. Inactive communal population': 1}"
2,E00023414,4. Healthy,22. Gym & juices,{'4. Healthy': 2},{'22. Gym & juices': 2}
3,E00023415,3. Caution,18. Cultural concerns,"{'3. Caution': 6, '4. Healthy': 5, '5. Not Private Households': 3}","{'18. Cultural concerns': 6, '22. Gym & juices': 5, '27. Inactive communal population': 2, '28. Business addresses etc.': 1}"
4,E00023416,4. Healthy,24. Five-a-day greys,{'4. Healthy': 8},{'24. Five-a-day greys': 8}
5,E00023418,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '5. Not Private Households': 3, '4. Healthy': 2}","{'18. Cultural concerns': 3, '28. Business addresses etc.': 3, '22. Gym & juices': 2}"
6,E00023419,3. Caution,18. Cultural concerns,"{'3. Caution': 6, '4. Healthy': 4}","{'18. Cultural concerns': 6, '22. Gym & juices': 4}"
7,E00023421,4. Healthy,22. Gym & juices,{'4. Healthy': 5},"{'22. Gym & juices': 4, '24. Five-a-day greys': 1}"
8,E00023422,4. Healthy,22. Gym & juices,"{'4. Healthy': 8, '3. Caution': 4, '5. Not Private Households': 1}","{'22. Gym & juices': 8, '18. Cultural concerns': 4, '28. Business addresses etc.': 1}"
9,E00023423,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 3, '18. Cultural concerns': 2, '24. Five-a-day greys': 2, '28. Business addresses etc.': 1}"
10,E00023424,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 5, '3. Caution': 2, '5. Not Private Households': 1}","{'24. Five-a-day greys': 4, '18. Cultural concerns': 2, '22. Gym & juices': 1, '28. Business addresses etc.': 1}"
11,E00023425,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 2}","{'22. Gym & juices': 4, '18. Cultural concerns': 2}"
12,E00023426,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 3}","{'18. Cultural concerns': 3, '22. Gym & juices': 3}"
13,E00023427,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 1, '5. Not Private Households': 1}","{'18. Cultural concerns': 2, '24. Five-a-day greys': 1, '27. Inactive communal population': 1}"
